year,state_name,state_abbr,adm_type,m,f
1988,Alabama,AL,adm_viol_new,91,8
1988,Alabama,AL,adm_viol_tech,618,27
1988,Alabama,AL,adm_oth,364,32
1989,Alabama,AL,adm_total,6130,671
1989,Alabama,AL,adm_new_commit,4432,520
1989,Alabama,AL,adm_viol_new,141,16
1989,Alabama,AL,adm_viol_tech,1155,73
1989,Alabama,AL,adm_oth,402,62
1990,Alabama,AL,adm_total,6781,510
1990,Alabama,AL,adm_new_commit,4622,389
1990,Alabama,AL,adm_viol_new,178,9
1990,Alabama,AL,adm_viol_tech,1567,67
1990,Alabama,AL,adm_oth,414,45
1991,Alabama,AL,adm_total,7197,711
1991,Alabama,AL,adm_new_commit,5177,544
1991,Alabama,AL,adm_viol_new,406,23
1991,Alabama,AL,adm_viol_tech,1237,68
1991,Alabama,AL,adm_oth,377,76
1992,Alabama,AL,adm_total,7448,771
1992,Alabama,AL,adm_new_commit,5365,605
1992,Alabama,AL,adm_viol_new,460,27
1992,Alabama,AL,adm_viol_tech,1220,76
1992,Alabama,AL,adm_oth,403,63
1993,Alabama,AL,adm_total,7961,779
1993,Alabama,AL,adm_new_commit,5869,622
1993,Alabama,AL,adm_viol_new,474,26
1993,Alabama,AL,adm_viol_tech,1214,70
1993,Alabama,AL,adm_oth,404,61
1994,Alabama,AL,adm_total,7754,770
1994,Alabama,AL,adm_new_commit,5670,604
1994,Alabama,AL,adm_viol_new,542,40
1994,Alabama,AL,adm_viol_tech,1195,79
1994,Alabama,AL,adm_oth,347,47
1995,Alabama,AL,adm_total,8141,772
1995,Alabama,AL,adm_new_commit,5999,628
1995,Alabama,AL,adm_viol_new,562,29
1995,Alabama,AL,adm_viol_tech,1230,73
1995,Alabama,AL,adm_oth,350,42
1996,Alabama,AL,adm_total,8866,884
1996,Alabama,AL,adm_new_commit,6761,716
1996,Alabama,AL,adm_viol_new,569,43
1996,Alabama,AL,adm_viol_tech,1153,75
1996,Alabama,AL,adm_oth,383,50
1997,Alabama,AL,adm_total,8650,953
1997,Alabama,AL,adm_new_commit,7004,792
1997,Alabama,AL,adm_viol_new,603,45
1997,Alabama,AL,adm_viol_tech,648,74
1997,Alabama,AL,adm_oth,395,42
1998,Alabama,AL,adm_total,6996,754
1998,Alabama,AL,adm_new_commit,6014,650
1998,Alabama,AL,adm_viol_new,69,4
1998,Alabama,AL,adm_viol_tech,586,41
1998,Alabama,AL,adm_oth,327,59
1999,Alabama,AL,adm_total,7583,915
1999,Alabama,AL,adm_new_commit,NA,NA
1999,Alabama,AL,adm_viol_new,0,0
1999,Alabama,AL,adm_viol_tech,0,0
1999,Alabama,AL,adm_oth,0,0
2000,Alabama,AL,adm_total,5812,690
2000,Alabama,AL,adm_new_commit,4896,603
2000,Alabama,AL,adm_viol_new,59,5
2000,Alabama,AL,adm_viol_tech,562,44
2000,Alabama,AL,adm_oth,180,38
2001,Alabama,AL,adm_total,6860,760
2001,Alabama,AL,adm_new_commit,5996,679
2001,Alabama,AL,adm_viol_new,50,2
2001,Alabama,AL,adm_viol_tech,529,37
2001,Alabama,AL,adm_oth,160,42
2002,Alabama,AL,adm_total,6427,798
2002,Alabama,AL,adm_new_commit,5439,696
2002,Alabama,AL,adm_viol_new,57,3
2002,Alabama,AL,adm_viol_tech,722,53
2002,Alabama,AL,adm_oth,117,46
2003,Alabama,AL,adm_total,13670,0
2003,Alabama,AL,adm_new_commit,9524,NA
2003,Alabama,AL,adm_viol_new,0,0
2003,Alabama,AL,adm_viol_tech,0,0
2003,Alabama,AL,adm_oth,4139,0
2004,Alabama,AL,adm_total,7353,1047
2004,Alabama,AL,adm_new_commit,6413,958
2004,Alabama,AL,adm_viol_new,1,1
2004,Alabama,AL,adm_viol_tech,401,33
2004,Alabama,AL,adm_oth,512,55
2005,Alabama,AL,adm_total,8651,1254
2005,Alabama,AL,adm_new_commit,7208,1066
2005,Alabama,AL,adm_viol_new,99,17
2005,Alabama,AL,adm_viol_tech,1178,138
2005,Alabama,AL,adm_oth,48,33
2006,Alabama,AL,adm_total,8953,1270
2006,Alabama,AL,adm_new_commit,7470,1084
2006,Alabama,AL,adm_viol_new,99,12
2006,Alabama,AL,adm_viol_tech,1220,133
2006,Alabama,AL,adm_oth,64,41
2007,Alabama,AL,adm_total,9546,1352
2007,Alabama,AL,adm_new_commit,8025,1222
2007,Alabama,AL,adm_viol_new,100,7
2007,Alabama,AL,adm_viol_tech,1235,94
2007,Alabama,AL,adm_oth,56,29
2008,Alabama,AL,adm_total,9911,1396
2008,Alabama,AL,adm_new_commit,8395,1232
2008,Alabama,AL,adm_viol_new,98,10
2008,Alabama,AL,adm_viol_tech,1174,111
2008,Alabama,AL,adm_oth,57,43
2009,Alabama,AL,adm_total,11728,1727
2009,Alabama,AL,adm_new_commit,9115,1447
2009,Alabama,AL,adm_viol_new,113,15
2009,Alabama,AL,adm_viol_tech,1288,123
2009,Alabama,AL,adm_oth,995,142
2010,Alabama,AL,adm_total,10669,1603
2010,Alabama,AL,adm_new_commit,8263,1350
2010,Alabama,AL,adm_viol_new,110,8
2010,Alabama,AL,adm_viol_tech,1203,118
2010,Alabama,AL,adm_oth,849,127
2011,Alabama,AL,adm_total,10379,1564
2011,Alabama,AL,adm_new_commit,8009,1293
2011,Alabama,AL,adm_viol_new,92,7
2011,Alabama,AL,adm_viol_tech,1056,87
2011,Alabama,AL,adm_oth,877,177
2012,Alabama,AL,adm_total,10248,1619
2012,Alabama,AL,adm_new_commit,7870,1331
2012,Alabama,AL,adm_viol_new,93,7
2012,Alabama,AL,adm_viol_tech,934,82
2012,Alabama,AL,adm_oth,911,199
2013,Alabama,AL,adm_total,10233,1680
2013,Alabama,AL,adm_new_commit,7795,1396
2013,Alabama,AL,adm_viol_new,71,5
2013,Alabama,AL,adm_viol_tech,941,88
2013,Alabama,AL,adm_oth,982,191
2014,Alabama,AL,adm_total,9944,1660
2014,Alabama,AL,adm_new_commit,7494,1333
2014,Alabama,AL,adm_viol_new,79,11
2014,Alabama,AL,adm_viol_tech,965,82
2014,Alabama,AL,adm_oth,999,234
2015,Alabama,AL,adm_total,9567,1690
2015,Alabama,AL,adm_new_commit,7145,1362
2015,Alabama,AL,adm_viol_new,83,7
2015,Alabama,AL,adm_viol_tech,954,92
2015,Alabama,AL,adm_oth,842,229
2016,Alabama,AL,adm_total,9860,1776
2016,Alabama,AL,adm_new_commit,6551,1187
2016,Alabama,AL,adm_viol_new,513,48
2016,Alabama,AL,adm_viol_tech,622,51
2016,Alabama,AL,adm_oth,1659,490
2017,Alabama,AL,adm_total,10848,2188
2017,Alabama,AL,adm_new_commit,6665,1380
2017,Alabama,AL,adm_viol_new,685,91
2017,Alabama,AL,adm_viol_tech,768,80
2017,Alabama,AL,adm_oth,2177,637
2018,Alabama,AL,adm_total,11816,2216
2018,Alabama,AL,adm_new_commit,6822,1319
2018,Alabama,AL,adm_viol_new,880,91
2018,Alabama,AL,adm_viol_tech,806,62
2018,Alabama,AL,adm_oth,2761,744
2019,Alabama,AL,adm_total,11653,2436
2019,Alabama,AL,adm_new_commit,6749,1508
2019,Alabama,AL,adm_viol_new,640,77
2019,Alabama,AL,adm_viol_tech,859,70
2019,Alabama,AL,adm_oth,2897,781
2020,Alabama,AL,adm_total,7154,1476
2020,Alabama,AL,adm_new_commit,4265,922
2020,Alabama,AL,adm_viol_new,159,16
2020,Alabama,AL,adm_viol_tech,633,44
2020,Alabama,AL,adm_oth,1744,494
2021,Alabama,AL,adm_total,7628,1547
2021,Alabama,AL,adm_new_commit,5154,1064
2021,Alabama,AL,adm_viol_new,142,26
2021,Alabama,AL,adm_viol_tech,439,44
2021,Alabama,AL,adm_oth,1588,413
2022,Alabama,AL,adm_total,8422,1722
2022,Alabama,AL,adm_new_commit,6116,1247
2022,Alabama,AL,adm_viol_new,98,13
2022,Alabama,AL,adm_viol_tech,347,38
2022,Alabama,AL,adm_oth,1497,424
1978,Alaska,AK,adm_total,270,10
1978,Alaska,AK,adm_new_commit,226,8
1978,Alaska,AK,adm_viol_new,0,0
1978,Alaska,AK,adm_viol_tech,24,0
1978,Alaska,AK,adm_oth,17,2
1979,Alaska,AK,adm_total,327,10
1979,Alaska,AK,adm_new_commit,271,8
1979,Alaska,AK,adm_viol_new,29,0
1979,Alaska,AK,adm_viol_tech,0,0
1979,Alaska,AK,adm_oth,27,2
1980,Alaska,AK,adm_total,390,11
1980,Alaska,AK,adm_new_commit,304,9
1980,Alaska,AK,adm_viol_new,33,0
1980,Alaska,AK,adm_viol_tech,0,0
1980,Alaska,AK,adm_oth,53,2
1981,Alaska,AK,adm_total,468,34
1981,Alaska,AK,adm_new_commit,364,26
1981,Alaska,AK,adm_viol_new,40,3
1981,Alaska,AK,adm_viol_tech,0,0
1981,Alaska,AK,adm_oth,64,5
1982,Alaska,AK,adm_total,571,44
1982,Alaska,AK,adm_new_commit,442,35
1982,Alaska,AK,adm_viol_new,0,0
1982,Alaska,AK,adm_viol_tech,49,3
1982,Alaska,AK,adm_oth,80,6
1983,Alaska,AK,adm_total,828,36
1983,Alaska,AK,adm_new_commit,604,27
1983,Alaska,AK,adm_viol_new,0,0
1983,Alaska,AK,adm_viol_tech,54,2
1983,Alaska,AK,adm_oth,170,7
1984,Alaska,AK,adm_total,735,31
1984,Alaska,AK,adm_new_commit,657,28
1984,Alaska,AK,adm_viol_new,16,1
1984,Alaska,AK,adm_viol_tech,24,1
1984,Alaska,AK,adm_oth,38,1
1985,Alaska,AK,adm_total,867,36
1985,Alaska,AK,adm_new_commit,792,33
1985,Alaska,AK,adm_viol_new,19,1
1985,Alaska,AK,adm_viol_tech,28,1
1985,Alaska,AK,adm_oth,28,1
1986,Alaska,AK,adm_total,1104,44
1986,Alaska,AK,adm_new_commit,974,41
1986,Alaska,AK,adm_viol_new,19,1
1986,Alaska,AK,adm_viol_tech,60,2
1986,Alaska,AK,adm_oth,51,0
1987,Alaska,AK,adm_total,1013,48
1987,Alaska,AK,adm_new_commit,825,43
1987,Alaska,AK,adm_viol_new,5,0
1987,Alaska,AK,adm_viol_tech,78,1
1987,Alaska,AK,adm_oth,105,4
1988,Alaska,AK,adm_total,1011,42
1988,Alaska,AK,adm_new_commit,889,37
1988,Alaska,AK,adm_viol_new,2,0
1988,Alaska,AK,adm_viol_tech,94,4
1988,Alaska,AK,adm_oth,26,1
1989,Alaska,AK,adm_total,986,79
1989,Alaska,AK,adm_new_commit,874,73
1989,Alaska,AK,adm_viol_new,5,0
1989,Alaska,AK,adm_viol_tech,104,6
1989,Alaska,AK,adm_oth,3,0
1990,Alaska,AK,adm_total,1264,125
1990,Alaska,AK,adm_new_commit,1072,123
1990,Alaska,AK,adm_viol_new,1,0
1990,Alaska,AK,adm_viol_tech,191,2
1990,Alaska,AK,adm_oth,0,0
1991,Alaska,AK,adm_total,1252,89
1991,Alaska,AK,adm_new_commit,938,83
1991,Alaska,AK,adm_viol_new,7,0
1991,Alaska,AK,adm_viol_tech,303,6
1991,Alaska,AK,adm_oth,4,0
1992,Alaska,AK,adm_total,1365,126
1992,Alaska,AK,adm_new_commit,1097,123
1992,Alaska,AK,adm_viol_new,17,0
1992,Alaska,AK,adm_viol_tech,236,3
1992,Alaska,AK,adm_oth,15,0
1993,Alaska,AK,adm_total,2395,218
1993,Alaska,AK,adm_new_commit,943,125
1993,Alaska,AK,adm_viol_new,0,0
1993,Alaska,AK,adm_viol_tech,383,50
1993,Alaska,AK,adm_oth,1069,43
1994,Alaska,AK,adm_total,NA,NA
1994,Alaska,AK,adm_new_commit,NA,NA
1994,Alaska,AK,adm_viol_new,0,0
1994,Alaska,AK,adm_viol_tech,0,0
1994,Alaska,AK,adm_oth,0,0
1995,Alaska,AK,adm_total,1783,216
1995,Alaska,AK,adm_new_commit,1153,167
1995,Alaska,AK,adm_viol_new,122,10
1995,Alaska,AK,adm_viol_tech,506,38
1995,Alaska,AK,adm_oth,2,1
1996,Alaska,AK,adm_total,2089,288
1996,Alaska,AK,adm_new_commit,1351,198
1996,Alaska,AK,adm_viol_new,79,11
1996,Alaska,AK,adm_viol_tech,625,67
1996,Alaska,AK,adm_oth,34,12
1997,Alaska,AK,adm_total,2346,339
1997,Alaska,AK,adm_new_commit,1611,250
1997,Alaska,AK,adm_viol_new,134,5
1997,Alaska,AK,adm_viol_tech,571,72
1997,Alaska,AK,adm_oth,30,12
1998,Alaska,AK,adm_total,2304,343
1998,Alaska,AK,adm_new_commit,1380,232
1998,Alaska,AK,adm_viol_new,73,5
1998,Alaska,AK,adm_viol_tech,814,101
1998,Alaska,AK,adm_oth,37,5
1999,Alaska,AK,adm_total,2121,315
1999,Alaska,AK,adm_new_commit,1159,184
1999,Alaska,AK,adm_viol_new,174,18
1999,Alaska,AK,adm_viol_tech,759,111
1999,Alaska,AK,adm_oth,28,2
2000,Alaska,AK,adm_total,2178,288
2000,Alaska,AK,adm_new_commit,981,151
2000,Alaska,AK,adm_viol_new,284,29
2000,Alaska,AK,adm_viol_tech,872,107
2000,Alaska,AK,adm_oth,40,1
2001,Alaska,AK,adm_total,1882,270
2001,Alaska,AK,adm_new_commit,957,153
2001,Alaska,AK,adm_viol_new,169,16
2001,Alaska,AK,adm_viol_tech,748,99
2001,Alaska,AK,adm_oth,8,2
2002,Alaska,AK,adm_total,1882,270
2002,Alaska,AK,adm_new_commit,957,153
2002,Alaska,AK,adm_viol_new,169,16
2002,Alaska,AK,adm_viol_tech,748,99
2002,Alaska,AK,adm_oth,8,2
2003,Alaska,AK,adm_total,2511,294
2003,Alaska,AK,adm_new_commit,1281,168
2003,Alaska,AK,adm_viol_new,226,18
2003,Alaska,AK,adm_viol_tech,954,108
2003,Alaska,AK,adm_oth,50,0
2004,Alaska,AK,adm_total,2477,269
2004,Alaska,AK,adm_new_commit,NA,NA
2004,Alaska,AK,adm_viol_new,0,0
2004,Alaska,AK,adm_viol_tech,0,0
2004,Alaska,AK,adm_oth,0,0
2005,Alaska,AK,adm_total,2593,275
2005,Alaska,AK,adm_new_commit,NA,NA
2005,Alaska,AK,adm_viol_new,0,0
2005,Alaska,AK,adm_viol_tech,0,0
2005,Alaska,AK,adm_oth,0,0
2006,Alaska,AK,adm_total,NA,NA
2006,Alaska,AK,adm_new_commit,NA,NA
2006,Alaska,AK,adm_viol_new,0,0
2006,Alaska,AK,adm_viol_tech,0,0
2006,Alaska,AK,adm_oth,0,0
2007,Alaska,AK,adm_total,2777,495
2007,Alaska,AK,adm_new_commit,NA,NA
2007,Alaska,AK,adm_viol_new,0,0
2007,Alaska,AK,adm_viol_tech,0,0
2007,Alaska,AK,adm_oth,0,0
2008,Alaska,AK,adm_total,4198,659
2008,Alaska,AK,adm_new_commit,NA,NA
2008,Alaska,AK,adm_viol_new,0,0
2008,Alaska,AK,adm_viol_tech,0,0
2008,Alaska,AK,adm_oth,0,0
2009,Alaska,AK,adm_total,2341,420
2009,Alaska,AK,adm_new_commit,NA,NA
2009,Alaska,AK,adm_viol_new,0,0
2009,Alaska,AK,adm_viol_tech,0,0
2009,Alaska,AK,adm_oth,0,0
2010,Alaska,AK,adm_total,2287,363
2010,Alaska,AK,adm_new_commit,NA,NA
2010,Alaska,AK,adm_viol_new,0,0
2010,Alaska,AK,adm_viol_tech,0,0
2010,Alaska,AK,adm_oth,2287,363
2011,Alaska,AK,adm_total,3090,699
2011,Alaska,AK,adm_new_commit,NA,NA
2011,Alaska,AK,adm_viol_new,0,0
2011,Alaska,AK,adm_viol_tech,0,0
2011,Alaska,AK,adm_oth,3090,699
2012,Alaska,AK,adm_total,3199,707
2012,Alaska,AK,adm_new_commit,NA,NA
2012,Alaska,AK,adm_viol_new,0,0
2012,Alaska,AK,adm_viol_tech,0,0
2012,Alaska,AK,adm_oth,3199,707
2013,Alaska,AK,adm_total,3199,707
2013,Alaska,AK,adm_new_commit,NA,NA
2013,Alaska,AK,adm_viol_new,0,0
2013,Alaska,AK,adm_viol_tech,0,0
2013,Alaska,AK,adm_oth,3199,707
2014,Alaska,AK,adm_total,3145,701
2014,Alaska,AK,adm_new_commit,NA,NA
2014,Alaska,AK,adm_viol_new,0,0
2014,Alaska,AK,adm_viol_tech,0,0
2014,Alaska,AK,adm_oth,3145,701
2015,Alaska,AK,adm_total,3131,1140
2015,Alaska,AK,adm_new_commit,NA,NA
2015,Alaska,AK,adm_viol_new,0,0
2015,Alaska,AK,adm_viol_tech,0,0
2015,Alaska,AK,adm_oth,3131,1140
2016,Alaska,AK,adm_total,1502,302
2016,Alaska,AK,adm_new_commit,1374,276
2016,Alaska,AK,adm_viol_new,0,0
2016,Alaska,AK,adm_viol_tech,128,26
2016,Alaska,AK,adm_oth,0,0
2017,Alaska,AK,adm_total,1446,134
2017,Alaska,AK,adm_new_commit,1328,118
2017,Alaska,AK,adm_viol_new,0,0
2017,Alaska,AK,adm_viol_tech,118,16
2017,Alaska,AK,adm_oth,0,0
2018,Alaska,AK,adm_total,1495,270
2018,Alaska,AK,adm_new_commit,1312,249
2018,Alaska,AK,adm_viol_new,0,0
2018,Alaska,AK,adm_viol_tech,183,21
2018,Alaska,AK,adm_oth,0,0
2019,Alaska,AK,adm_total,1425,135
2019,Alaska,AK,adm_new_commit,1166,120
2019,Alaska,AK,adm_viol_new,0,0
2019,Alaska,AK,adm_viol_tech,259,15
2019,Alaska,AK,adm_oth,0,0
2020,Alaska,AK,adm_total,1436,228
2020,Alaska,AK,adm_new_commit,1366,216
2020,Alaska,AK,adm_viol_new,0,0
2020,Alaska,AK,adm_viol_tech,70,12
2020,Alaska,AK,adm_oth,0,0
2021,Alaska,AK,adm_total,1244,213
2021,Alaska,AK,adm_new_commit,1196,192
2021,Alaska,AK,adm_viol_new,0,0
2021,Alaska,AK,adm_viol_tech,48,21
2021,Alaska,AK,adm_oth,0,0
2022,Alaska,AK,adm_total,1209,312
2022,Alaska,AK,adm_new_commit,1157,292
2022,Alaska,AK,adm_viol_new,0,0
2022,Alaska,AK,adm_viol_tech,52,20
2022,Alaska,AK,adm_oth,0,0
1978,Arizona,AZ,adm_total,1774,134
1978,Arizona,AZ,adm_new_commit,1173,108
1978,Arizona,AZ,adm_viol_new,232,3
1978,Arizona,AZ,adm_viol_tech,99,5
1978,Arizona,AZ,adm_oth,248,18
1979,Arizona,AZ,adm_total,1853,124
1979,Arizona,AZ,adm_new_commit,1459,77
1979,Arizona,AZ,adm_viol_new,65,3
1979,Arizona,AZ,adm_viol_tech,35,2
1979,Arizona,AZ,adm_oth,294,42
1980,Arizona,AZ,adm_total,2101,175
1980,Arizona,AZ,adm_new_commit,1735,126
1980,Arizona,AZ,adm_viol_new,111,12
1980,Arizona,AZ,adm_viol_tech,89,9
1980,Arizona,AZ,adm_oth,166,28
1981,Arizona,AZ,adm_total,2738,181
1981,Arizona,AZ,adm_new_commit,2121,140
1981,Arizona,AZ,adm_viol_new,201,11
1981,Arizona,AZ,adm_viol_tech,272,14
1981,Arizona,AZ,adm_oth,144,16
1982,Arizona,AZ,adm_total,2915,195
1982,Arizona,AZ,adm_new_commit,2420,155
1982,Arizona,AZ,adm_viol_new,121,9
1982,Arizona,AZ,adm_viol_tech,189,16
1982,Arizona,AZ,adm_oth,185,15
1983,Arizona,AZ,adm_total,3108,202
1983,Arizona,AZ,adm_new_commit,2709,171
1983,Arizona,AZ,adm_viol_new,125,6
1983,Arizona,AZ,adm_viol_tech,254,23
1983,Arizona,AZ,adm_oth,20,2
1984,Arizona,AZ,adm_total,3214,195
1984,Arizona,AZ,adm_new_commit,2801,164
1984,Arizona,AZ,adm_viol_new,129,6
1984,Arizona,AZ,adm_viol_tech,263,23
1984,Arizona,AZ,adm_oth,21,2
1985,Arizona,AZ,adm_total,3885,240
1985,Arizona,AZ,adm_new_commit,3023,221
1985,Arizona,AZ,adm_viol_new,90,1
1985,Arizona,AZ,adm_viol_tech,640,12
1985,Arizona,AZ,adm_oth,132,6
1986,Arizona,AZ,adm_total,4308,321
1986,Arizona,AZ,adm_new_commit,3463,250
1986,Arizona,AZ,adm_viol_new,47,8
1986,Arizona,AZ,adm_viol_tech,686,61
1986,Arizona,AZ,adm_oth,112,2
1987,Arizona,AZ,adm_total,5152,382
1987,Arizona,AZ,adm_new_commit,3987,311
1987,Arizona,AZ,adm_viol_new,69,10
1987,Arizona,AZ,adm_viol_tech,932,57
1987,Arizona,AZ,adm_oth,164,4
1988,Arizona,AZ,adm_total,5025,438
1988,Arizona,AZ,adm_new_commit,4024,357
1988,Arizona,AZ,adm_viol_new,65,4
1988,Arizona,AZ,adm_viol_tech,778,74
1988,Arizona,AZ,adm_oth,158,3
1989,Arizona,AZ,adm_total,5651,510
1989,Arizona,AZ,adm_new_commit,4844,416
1989,Arizona,AZ,adm_viol_new,57,4
1989,Arizona,AZ,adm_viol_tech,643,89
1989,Arizona,AZ,adm_oth,107,1
1990,Arizona,AZ,adm_total,6086,571
1990,Arizona,AZ,adm_new_commit,5152,452
1990,Arizona,AZ,adm_viol_new,30,0
1990,Arizona,AZ,adm_viol_tech,783,101
1990,Arizona,AZ,adm_oth,121,18
1991,Arizona,AZ,adm_total,7059,731
1991,Arizona,AZ,adm_new_commit,5613,531
1991,Arizona,AZ,adm_viol_new,103,2
1991,Arizona,AZ,adm_viol_tech,1032,146
1991,Arizona,AZ,adm_oth,311,52
1992,Arizona,AZ,adm_total,6979,726
1992,Arizona,AZ,adm_new_commit,5316,507
1992,Arizona,AZ,adm_viol_new,157,11
1992,Arizona,AZ,adm_viol_tech,1201,159
1992,Arizona,AZ,adm_oth,305,49
1993,Arizona,AZ,adm_total,7446,725
1993,Arizona,AZ,adm_new_commit,6042,564
1993,Arizona,AZ,adm_viol_new,387,20
1993,Arizona,AZ,adm_viol_tech,920,117
1993,Arizona,AZ,adm_oth,97,24
1994,Arizona,AZ,adm_total,8383,912
1994,Arizona,AZ,adm_new_commit,6681,681
1994,Arizona,AZ,adm_viol_new,341,21
1994,Arizona,AZ,adm_viol_tech,1301,193
1994,Arizona,AZ,adm_oth,60,17
1995,Arizona,AZ,adm_total,7854,894
1995,Arizona,AZ,adm_new_commit,6155,676
1995,Arizona,AZ,adm_viol_new,338,27
1995,Arizona,AZ,adm_viol_tech,1300,166
1995,Arizona,AZ,adm_oth,61,25
1996,Arizona,AZ,adm_total,8184,906
1996,Arizona,AZ,adm_new_commit,6344,670
1996,Arizona,AZ,adm_viol_new,422,29
1996,Arizona,AZ,adm_viol_tech,1361,193
1996,Arizona,AZ,adm_oth,57,14
1997,Arizona,AZ,adm_total,8408,814
1997,Arizona,AZ,adm_new_commit,6376,564
1997,Arizona,AZ,adm_viol_new,338,11
1997,Arizona,AZ,adm_viol_tech,1650,233
1997,Arizona,AZ,adm_oth,44,6
1998,Arizona,AZ,adm_total,9241,934
1998,Arizona,AZ,adm_new_commit,7014,695
1998,Arizona,AZ,adm_viol_new,350,17
1998,Arizona,AZ,adm_viol_tech,1821,210
1998,Arizona,AZ,adm_oth,56,12
1999,Arizona,AZ,adm_total,8617,827
1999,Arizona,AZ,adm_new_commit,6314,634
1999,Arizona,AZ,adm_viol_new,116,4
1999,Arizona,AZ,adm_viol_tech,1801,152
1999,Arizona,AZ,adm_oth,361,37
2000,Arizona,AZ,adm_total,8771,917
2000,Arizona,AZ,adm_new_commit,6300,704
2000,Arizona,AZ,adm_viol_new,125,5
2000,Arizona,AZ,adm_viol_tech,2229,197
2000,Arizona,AZ,adm_oth,99,11
2001,Arizona,AZ,adm_total,9152,966
2001,Arizona,AZ,adm_new_commit,6931,796
2001,Arizona,AZ,adm_viol_new,86,4
2001,Arizona,AZ,adm_viol_tech,2024,159
2001,Arizona,AZ,adm_oth,100,7
2002,Arizona,AZ,adm_total,10383,1242
2002,Arizona,AZ,adm_new_commit,7885,1044
2002,Arizona,AZ,adm_viol_new,123,7
2002,Arizona,AZ,adm_viol_tech,2237,172
2002,Arizona,AZ,adm_oth,129,19
2003,Arizona,AZ,adm_total,10865,1258
2003,Arizona,AZ,adm_new_commit,8517,1033
2003,Arizona,AZ,adm_viol_new,117,9
2003,Arizona,AZ,adm_viol_tech,2087,194
2003,Arizona,AZ,adm_oth,139,22
2004,Arizona,AZ,adm_total,10433,1156
2004,Arizona,AZ,adm_new_commit,8288,982
2004,Arizona,AZ,adm_viol_new,131,5
2004,Arizona,AZ,adm_viol_tech,1783,154
2004,Arizona,AZ,adm_oth,230,15
2005,Arizona,AZ,adm_total,11403,1355
2005,Arizona,AZ,adm_new_commit,8916,1153
2005,Arizona,AZ,adm_viol_new,149,3
2005,Arizona,AZ,adm_viol_tech,2038,176
2005,Arizona,AZ,adm_oth,299,23
2006,Arizona,AZ,adm_total,12902,1480
2006,Arizona,AZ,adm_new_commit,10254,1242
2006,Arizona,AZ,adm_viol_new,184,13
2006,Arizona,AZ,adm_viol_tech,2081,180
2006,Arizona,AZ,adm_oth,377,45
2007,Arizona,AZ,adm_total,12812,1688
2007,Arizona,AZ,adm_new_commit,10466,1446
2007,Arizona,AZ,adm_viol_new,163,19
2007,Arizona,AZ,adm_viol_tech,1740,212
2007,Arizona,AZ,adm_oth,440,11
2008,Arizona,AZ,adm_total,13173,1739
2008,Arizona,AZ,adm_new_commit,10918,1518
2008,Arizona,AZ,adm_viol_new,168,21
2008,Arizona,AZ,adm_viol_tech,1990,198
2008,Arizona,AZ,adm_oth,91,2
2009,Arizona,AZ,adm_total,13503,1705
