"person_id","sex","race","start_year","end_year","start_date","end_date","supervision_type","end_reason","offense_category"
"10123867","Male","Hispanic, any race",2017,2021,2017-10-05,2021-09-30,"Probation","Revoked","Violent"
"10123881","Male","Other, non-Hispanic",2019,2019,2019-05-24,2019-07-23,"Probation","Completed","Drugs"
"10123911","Male","Missing",2016,NA,2016-10-10,NA,"Parole",NA,"Violent"
"10123927","Male","Black, non-Hispanic",2018,2020,2018-12-11,2020-11-06,"Parole","Completed","Other"
"10123935","Male","Black, non-Hispanic",2014,2019,2014-04-16,2019-08-29,"Probation","Revoked","Property"
"10123937","Male","Hispanic, any race",2019,2021,2019-02-12,2021-01-31,"Parole","Revoked","Property"
"10123943","Male","Black, non-Hispanic",2021,2021,2021-08-30,2021-11-19,"Probation","Completed","Other"
"10123944","Male","Black, non-Hispanic",2013,NA,2013-09-11,NA,"Probation",NA,"Property"
"10123951","Female","White, non-Hispanic",2021,2021,2021-02-09,2021-03-20,"Probation","Revoked","Other"
"10123952","Male","Missing",2016,2019,2016-04-24,2019-05-25,"Probation","Revoked","Violent"
"10123961","Male","White, non-Hispanic",2019,2021,2019-11-19,2021-07-16,"Probation","Completed","Drugs"
"10123975","Male","Missing",2020,2022,2020-11-11,2022-02-11,"Probation","Completed","Drugs"
"10123975","Male","Missing",2021,2022,2021-04-14,2022-07-20,"Probation","Completed","Drugs"
"10123977","Male","White, non-Hispanic",2017,2020,2017-01-20,2020-05-21,"Probation","Completed","Drugs"
"10124013","Male","White, non-Hispanic",2018,2020,2018-03-11,2020-03-06,"Parole","Completed","Other"
"10124017","Male","Other, non-Hispanic",2020,2020,2020-04-12,2020-10-16,"Parole","Completed","Other"
"10124018","Male","Black, non-Hispanic",2019,2022,2019-06-30,2022-06-04,"Probation","Completed","Property"
"10124021","Male","White, non-Hispanic",2020,2021,2020-04-28,2021-11-04,"Probation","Completed","Other"
"10124027","Male","White, non-Hispanic",2019,2021,2019-08-06,2021-04-09,"Parole","Revoked","Other"
"10124039","Male","Black, non-Hispanic",2019,2020,2019-10-12,2020-10-13,"Probation","Completed","Other"
"10124049","Male","White, non-Hispanic",2020,2022,2020-07-10,2022-03-25,"Probation","Revoked","Other"
"10124058","Male","Hispanic, any race",2021,NA,2021-03-27,NA,"Probation",NA,"Violent"
"10124060","Male","Black, non-Hispanic",2019,2019,2019-09-25,2019-11-17,"Probation","Revoked","Property"
"10124091","Male","White, non-Hispanic",2021,2021,2021-07-11,2021-11-03,"Parole","Completed","Violent"
"10124092","Male","Black, non-Hispanic",2017,2019,2017-07-11,2019-08-21,"Probation","Completed","Drugs"
"10124094","Male","Black, non-Hispanic",2018,2021,2018-10-12,2021-09-01,"Probation","Revoked","Violent"
"10124102","Male","Black, non-Hispanic",2013,2021,2013-07-22,2021-01-06,"Probation","Other","Other"
"10124123","Male","Black, non-Hispanic",2023,2023,2023-09-16,2023-11-17,"Parole","Other","Violent"
"10124124","Male","Black, non-Hispanic",2021,2021,2021-05-12,2021-05-17,"Parole","Completed","Other"
"10124125","Male","White, non-Hispanic",2023,2023,2023-01-23,2023-11-19,"Probation","Revoked","Drugs"
"10124132","Male","White, non-Hispanic",2015,2020,2015-07-28,2020-06-05,"Probation","Other","Violent"
"10124193","Male","White, non-Hispanic",2019,2020,2019-01-12,2020-06-27,"Probation","Completed","Violent"
"10124194","Male","White, non-Hispanic",2020,2022,2020-05-08,2022-09-27,"Probation","Completed","Violent"
"10124202","Male","White, non-Hispanic",2018,2020,2018-05-20,2020-03-14,"Probation","Completed","Property"
"10124208","Male","White, non-Hispanic",2020,2022,2020-05-19,2022-05-28,"Parole","Completed","Drugs"
"10124209","Male","White, non-Hispanic",2021,2021,2021-09-27,2021-11-04,"Probation","Completed","Violent"
"10124213","Male","Black, non-Hispanic",1999,2019,1999-08-30,2019-09-17,"Probation","Other","Violent"
"10124214","Male","White, non-Hispanic",2018,2021,2018-07-27,2021-07-05,"Probation","Completed","Other"
"10124215","Male","White, non-Hispanic",2019,2021,2019-12-26,2021-09-08,"Parole","Completed","Other"
"10124225","Male","Missing",2020,NA,2020-04-20,NA,"Parole",NA,"Violent"
"10124229","Male","Black, non-Hispanic",2023,NA,2023-10-26,NA,"Probation",NA,"Violent"
"10124233","Male","Hispanic, any race",2016,2021,2016-10-26,2021-03-01,"Probation","Completed","Property"
"10124237","Male","White, non-Hispanic",2019,2021,2019-03-04,2021-12-13,"Probation","Other","Drugs"
"10124248","Male","Black, non-Hispanic",2021,2023,2021-12-01,2023-04-13,"Probation","Other","Drugs"
"10124249","Male","White, non-Hispanic",2022,2022,2022-03-06,2022-05-17,"Probation","Other","Other"
"10124251","Male","Hispanic, any race",2002,2023,2002-10-30,2023-10-16,"Probation","Completed","Violent"
"10124260","Male","White, non-Hispanic",2014,NA,2014-02-09,NA,"Parole",NA,"Violent"
"10124262","Male","White, non-Hispanic",2013,2020,2013-11-25,2020-12-12,"Parole","Completed","Other"
"10124265","Male","White, non-Hispanic",2023,NA,2023-12-31,NA,"Probation",NA,"Property"
"10124269","Male","Black, non-Hispanic",2018,2020,2018-05-12,2020-12-05,"Probation","Completed","Drugs"
"10124275","Male","Black, non-Hispanic",2019,2019,2019-09-21,2019-09-25,"Probation","Completed","Other"
"10124276","Male","Missing",1988,NA,1988-04-11,NA,"Probation",NA,"Violent"
"10124290","Male","Hispanic, any race",2016,2020,2016-11-21,2020-11-09,"Probation","Completed","Violent"
"10124295","Male","White, non-Hispanic",2022,2023,2022-08-02,2023-10-28,"Probation","Completed","Other"
"10124314","Male","White, non-Hispanic",2019,2022,2019-02-24,2022-01-02,"Probation","Other","Property"
"10124319","Male","Hispanic, any race",2019,2019,2019-12-01,2019-12-13,"Parole","Completed","Drugs"
"10124323","Male","White, non-Hispanic",2020,2023,2020-07-26,2023-07-10,"Parole","Completed","Property"
"10124333","Male","Hispanic, any race",2023,NA,2023-08-05,NA,"Probation",NA,"Violent"
"10124340","Male","White, non-Hispanic",2023,NA,2023-07-07,NA,"Probation",NA,"Violent"
"10124341","Female","Missing",2018,2020,2018-08-26,2020-02-23,"Probation","Revoked","Violent"
"10124376","Male","White, non-Hispanic",2014,NA,2014-05-22,NA,"Parole",NA,"Violent"
"10124384","Male","Missing",2019,NA,2019-02-24,NA,"Probation",NA,"Violent"
"10124388","Male","Black, non-Hispanic",2020,2021,2020-03-12,2021-03-25,"Probation","Completed","Violent"
"10124395","Male","Black, non-Hispanic",2013,2021,2013-09-11,2021-12-26,"Parole","Completed","Violent"
"10124398","Male","Black, non-Hispanic",2019,2019,2019-04-15,2019-08-29,"Parole","Revoked","Other"
"10124403","Male","Hispanic, any race",2020,NA,2020-01-02,NA,"Probation",NA,"Property"
"10124418","Male","White, non-Hispanic",2022,2022,2022-12-18,2022-12-26,"Parole","Completed","Property"
"10124424","Male","White, non-Hispanic",2018,2021,2018-09-15,2021-08-06,"Probation","Completed","Drugs"
"10124425","Male","White, non-Hispanic",2023,NA,2023-06-28,NA,"Parole",NA,"Drugs"
"10124431","Male","Missing",2018,2019,2018-02-16,2019-08-29,"Parole","Revoked","Other"
"10124434","Female","Black, non-Hispanic",2019,2021,2019-12-07,2021-01-18,"Parole","Completed","Other"
"10124434","Female","Black, non-Hispanic",2023,2023,2023-11-28,2023-12-20,"Probation","Completed","Missing"
"10124457","Male","White, non-Hispanic",2020,2021,2020-03-19,2021-09-24,"Probation","Completed","Other"
"10124466","Male","White, non-Hispanic",2021,2022,2021-02-20,2022-08-20,"Probation","Revoked","Property"
"10124469","Male","White, non-Hispanic",2017,NA,2017-08-14,NA,"Parole",NA,"Other"
"10124471","Male","White, non-Hispanic",2019,2021,2019-03-14,2021-11-09,"Probation","Completed","Other"
"10124473","Male","Other, non-Hispanic",2017,2020,2017-07-02,2020-04-09,"Probation","Completed","Property"
"10124485","Male","Missing",2019,2019,2019-05-30,2019-11-18,"Probation","Completed","Violent"
"10124490","Male","Missing",2021,NA,2021-10-11,NA,"Probation",NA,"Property"
"10124513","Male","White, non-Hispanic",2023,2023,2023-01-22,2023-05-02,"Probation","Other","Violent"
"10124518","Male","White, non-Hispanic",2020,2021,2020-02-08,2021-06-03,"Probation","Completed","Property"
"10124520","Male","White, non-Hispanic",2022,2022,2022-05-09,2022-08-31,"Probation","Completed","Drugs"
"10124550","Male","Black, non-Hispanic",2004,NA,2004-09-03,NA,"Parole",NA,"Other"
"10124555","Male","White, non-Hispanic",2019,2022,2019-08-17,2022-07-09,"Probation","Completed","Property"
"10124570","Male","White, non-Hispanic",2016,2023,2016-08-29,2023-04-19,"Probation","Revoked","Property"
"10124591","Male","White, non-Hispanic",2015,2020,2015-08-06,2020-07-28,"Probation","Completed","Property"
"10124625","Male","White, non-Hispanic",2021,2022,2021-01-23,2022-09-09,"Parole","Revoked","Property"
"10124629","Male","Black, non-Hispanic",2023,NA,2023-06-12,NA,"Probation",NA,"Violent"
"10124633","Male","Black, non-Hispanic",2021,2022,2021-02-15,2022-07-14,"Probation","Completed","Violent"
"10124643","Male","Black, non-Hispanic",2019,2019,2019-03-09,2019-05-06,"Probation","Other","Violent"
"10124683","Male","White, non-Hispanic",2023,NA,2023-02-10,NA,"Parole",NA,"Drugs"
"10124698","Male","White, non-Hispanic",2017,2022,2017-11-12,2022-09-13,"Probation","Completed","Violent"
"10124700","Male","Hispanic, any race",2021,2021,2021-08-26,2021-12-03,"Probation","Other","Violent"
"10124703","Male","Black, non-Hispanic",2019,2020,2019-09-23,2020-12-27,"Probation","Completed","Other"
"10124711","Male","White, non-Hispanic",2020,2022,2020-05-11,2022-06-08,"Probation","Completed","Property"
"10124720","Male","Black, non-Hispanic",2019,2019,2019-05-14,2019-11-16,"Parole","Revoked","Violent"
"10124731","Male","White, non-Hispanic",2015,2022,2015-11-17,2022-04-12,"Parole","Completed","Violent"
"10124736","Male","White, non-Hispanic",2023,NA,2023-12-13,NA,"Parole",NA,"Violent"
"10124745","Male","Missing",2021,2022,2021-04-09,2022-12-24,"Probation","Completed","Property"
"10124765","Male","White, non-Hispanic",2020,2020,2020-11-25,2020-11-29,"Probation","Completed","Other"
"10124767","Male","White, non-Hispanic",2018,2019,2018-04-07,2019-10-22,"Parole","Other","Property"
"10124776","Male","Black, non-Hispanic",2020,2020,2020-05-20,2020-06-28,"Parole","Completed","Drugs"
"10124783","Female","Hispanic, any race",2020,2022,2020-11-07,2022-03-05,"Parole","Completed","Other"
"10124796","Male","Black, non-Hispanic",2019,2021,2019-11-19,2021-11-13,"Probation","Completed","Drugs"
"10124832","Male","White, non-Hispanic",2021,2021,2021-02-16,2021-05-08,"Probation","Completed","Drugs"
"10124850","Male","Other, non-Hispanic",2022,2023,2022-09-28,2023-12-28,"Probation","Revoked","Violent"
"10124854","Male","Black, non-Hispanic",2013,2021,2013-08-11,2021-05-21,"Probation","Completed","Violent"
"10124860","Male","Black, non-Hispanic",2017,2020,2017-04-11,2020-02-19,"Probation","Revoked","Property"
"10124870","Male","White, non-Hispanic",2018,2019,2018-05-21,2019-11-27,"Probation","Revoked","Violent"
"10124907","Male","White, non-Hispanic",2018,NA,2018-05-19,NA,"Probation",NA,"Property"
"10124925","Male","Black, non-Hispanic",2009,2021,2009-02-02,2021-11-13,"Parole","Revoked","Violent"
"10124933","Male","Black, non-Hispanic",2019,2021,2019-07-15,2021-03-01,"Parole","Revoked","Property"
"10124939","Male","Missing",2023,NA,2023-04-21,NA,"Probation",NA,"Violent"
"10124943","Male","White, non-Hispanic",2017,2019,2017-03-25,2019-12-15,"Parole","Completed","Drugs"
"10124943","Male","White, non-Hispanic",2020,2020,2020-05-30,2020-10-05,"Probation","Revoked","Drugs"
"10124946","Female","Other, non-Hispanic",2018,2019,2018-01-07,2019-05-26,"Probation","Revoked","Property"
"10124964","Female","White, non-Hispanic",2022,2022,2022-09-08,2022-09-14,"Parole","Completed","Other"
"10124971","Male","Hispanic, any race",2019,2019,2019-07-12,2019-12-11,"Probation","Other","Other"
"10124971","Male","Hispanic, any race",2021,2023,2021-07-07,2023-11-10,"Probation","Other","Violent"
"10124971","Male","Hispanic, any race",2022,2022,2022-03-27,2022-10-09,"Probation","Completed","Drugs"
"10124975","Male","White, non-Hispanic",2020,2022,2020-07-30,2022-05-08,"Parole","Completed","Other"
"10124976","Male","White, non-Hispanic",2020,2022,2020-11-18,2022-11-25,"Probation","Revoked","Missing"
"10125015","Male","White, non-Hispanic",2018,2021,2018-05-30,2021-04-04,"Probation","Revoked","Property"
"10125021","Male","White, non-Hispanic",2022,2022,2022-07-29,2022-12-30,"Probation","Completed","Violent"
"10125033","Female","Black, non-Hispanic",2016,2020,2016-11-22,2020-06-20,"Parole","Completed","Violent"
"10125043","Male","Black, non-Hispanic",2019,2022,2019-05-25,2022-09-27,"Probation","Revoked","Other"
"10125102","Male","Missing",2019,2019,2019-03-19,2019-10-19,"Probation","Other","Drugs"
"10125108","Male","Missing",2019,2019,2019-11-08,2019-11-19,"Probation","Completed","Violent"
"10125118","Male","Other, non-Hispanic",2017,2022,2017-05-27,2022-10-15,"Probation","Completed","Drugs"
"10125123","Female","White, non-Hispanic",2021,NA,2021-08-29,NA,"Probation",NA,"Drugs"
"10125127","Male","White, non-Hispanic",2019,2019,2019-09-09,2019-11-27,"Parole","Revoked","Property"
"10125129","Male","White, non-Hispanic",2022,2022,2022-12-20,2022-12-27,"Parole","Other","Violent"
"10125148","Male","White, non-Hispanic",2019,2021,2019-07-30,2021-11-23,"Probation","Revoked","Drugs"
"10125151","Male","Black, non-Hispanic",2023,NA,2023-05-14,NA,"Probation",NA,"Property"
"10125158","Female","Black, non-Hispanic",2019,2020,2019-09-22,2020-11-30,"Probation","Completed","Property"
"10125162","Male","Black, non-Hispanic",2016,2022,2016-09-25,2022-03-02,"Probation","Revoked","Property"
"10125169","Male","White, non-Hispanic",2020,NA,2020-02-07,NA,"Parole",NA,"Violent"
"10125186","Male","Hispanic, any race",2016,2020,2016-12-14,2020-05-29,"Probation","Completed","Drugs"
"10125192","Male","White, non-Hispanic",2023,NA,2023-03-07,NA,"Probation",NA,"Other"
"10125203","Male","White, non-Hispanic",2019,NA,2019-10-30,NA,"Probation",NA,"Violent"
"10125205","Male","Other, non-Hispanic",2015,NA,2015-11-28,NA,"Probation",NA,"Violent"
"10125217","Male","White, non-Hispanic",2016,2021,2016-04-15,2021-06-28,"Probation","Completed","Drugs"
"10125238","Male","White, non-Hispanic",2021,2023,2021-02-17,2023-02-02,"Probation","Completed","Property"
"10125258","Male","White, non-Hispanic",2019,2022,2019-10-28,2022-02-20,"Probation","Completed","Drugs"
"10125259","Male","White, non-Hispanic",2015,NA,2015-07-18,NA,"Probation",NA,"Violent"
"10125262","Male","White, non-Hispanic",2020,2022,2020-12-22,2022-07-12,"Parole","Completed","Property"
"10125282","Male","Hispanic, any race",2016,2021,2016-07-01,2021-05-16,"Probation","Completed","Violent"
"10125288","Male","Black, non-Hispanic",2021,2022,2021-03-19,2022-10-13,"Probation","Completed","Violent"
"10125301","Male","Hispanic, any race",2020,2020,2020-09-10,2020-11-23,"Probation","Completed","Violent"
"10125308","Male","White, non-Hispanic",2020,NA,2020-07-29,NA,"Parole",NA,"Violent"
"10125310","Male","White, non-Hispanic",2020,2020,2020-07-29,2020-12-22,"Parole","Completed","Property"
"10125325","Male","White, non-Hispanic",2016,2019,2016-07-05,2019-11-06,"Probation","Completed","Violent"
"10125337","Male","Hispanic, any race",2017,NA,2017-04-10,NA,"Probation",NA,"Violent"
"10125349","Male","Other, non-Hispanic",2019,2021,2019-05-09,2021-07-12,"Parole","Revoked","Other"
"10125359","Female","White, non-Hispanic",2023,2023,2023-01-22,2023-06-11,"Probation","Completed","Drugs"
"10125370","Male","Hispanic, any race",2019,2020,2019-03-15,2020-09-04,"Probation","Completed","Other"
"10125382","Female","White, non-Hispanic",2022,2022,2022-07-20,2022-12-01,"Probation","Completed","Other"
"10125386","Male","Hispanic, any race",2020,2020,2020-02-14,2020-09-03,"Probation","Other","Other"
"10125389","Male","White, non-Hispanic",2017,NA,2017-08-18,NA,"Probation",NA,"Other"
"10125390","Male","White, non-Hispanic",2018,2020,2018-01-14,2020-01-01,"Probation","Completed","Other"
"10125396","Male","Missing",2019,2019,2019-06-16,2019-11-24,"Probation","Revoked","Drugs"
"10125400","Male","White, non-Hispanic",2019,2023,2019-06-17,2023-02-15,"Probation","Completed","Property"
"10125403","Male","Missing",2020,2022,2020-06-17,2022-01-09,"Parole","Completed","Drugs"
"10125406","Male","Other, non-Hispanic",2018,2022,2018-07-11,2022-04-30,"Probation","Completed","Property"
"10125422","Female","Black, non-Hispanic",2019,NA,2019-06-09,NA,"Probation",NA,"Property"
"10125434","Male","White, non-Hispanic",2023,2023,2023-08-04,2023-09-07,"Probation","Completed","Drugs"
"10125435","Male","Hispanic, any race",2021,2021,2021-07-05,2021-10-03,"Probation","Completed","Violent"
"10125443","Male","White, non-Hispanic",2023,NA,2023-02-26,NA,"Probation",NA,"Drugs"
"10125446","Male","Black, non-Hispanic",2020,2020,2020-10-29,2020-11-12,"Probation","Completed","Violent"
"10125470","Male","White, non-Hispanic",2023,NA,2023-07-17,NA,"Probation",NA,"Violent"
"10125514","Male","White, non-Hispanic",2018,2023,2018-06-02,2023-03-03,"Probation","Completed","Other"
"10125526","Male","Black, non-Hispanic",2021,2021,2021-01-31,2021-02-06,"Probation","Completed","Other"
"10125541","Male","Black, non-Hispanic",2021,2021,2021-09-11,2021-11-08,"Parole","Revoked","Other"
"10125549","Male","Hispanic, any race",2020,2021,2020-03-14,2021-10-19,"Probation","Completed","Property"
"10125549","Male","Hispanic, any race",2021,2022,2021-02-19,2022-06-13,"Probation","Completed","Drugs"
"10125562","Male","White, non-Hispanic",2022,2022,2022-04-04,2022-12-09,"Probation","Completed","Other"
"10125576","Female","Other, non-Hispanic",2023,2023,2023-06-05,2023-12-26,"Parole","Completed","Drugs"
"10125586","Male","White, non-Hispanic",2019,2021,2019-01-28,2021-10-27,"Probation","Completed","Property"
"10125586","Male","White, non-Hispanic",2021,2022,2021-02-17,2022-10-27,"Parole","Completed","Property"
"10125591","Male","Black, non-Hispanic",2018,2020,2018-11-16,2020-08-30,"Parole","Completed","Violent"
"10125592","Male","Missing",2019,2020,2019-07-28,2020-11-08,"Parole","Revoked","Property"
"10125616","Male","White, non-Hispanic",2020,NA,2020-04-08,NA,"Probation",NA,"Other"
"10125621","Male","Hispanic, any race",2017,2019,2017-03-28,2019-11-13,"Probation","Completed","Drugs"
"10125624","Male","White, non-Hispanic",2022,2022,2022-01-13,2022-06-15,"Probation","Completed","Drugs"
"10125627","Male","Black, non-Hispanic",2019,2020,2019-03-06,2020-08-24,"Probation","Completed","Property"
"10125646","Male","Black, non-Hispanic",1996,NA,1996-10-07,NA,"Parole",NA,"Violent"
"10125647","Male","White, non-Hispanic",2016,2021,2016-10-14,2021-06-08,"Parole","Revoked","Violent"
"10125668","Male","Black, non-Hispanic",2022,2023,2022-01-25,2023-11-17,"Parole","Revoked","Violent"
"10125674","Male","White, non-Hispanic",2020,2021,2020-11-13,2021-12-25,"Probation","Other","Drugs"
"10125716","Male","Black, non-Hispanic",2019,2019,2019-06-01,2019-12-26,"Parole","Completed","Property"
"10125743","Male","White, non-Hispanic",2023,NA,2023-08-20,NA,"Probation",NA,"Property"
"10125753","Female","Black, non-Hispanic",2015,NA,2015-05-21,NA,"Probation",NA,"Violent"
"10125753","Female","Black, non-Hispanic",2021,2021,2021-09-07,2021-12-17,"Probation","Completed","Drugs"
"10125753","Female","Black, non-Hispanic",2022,2022,2022-08-20,2022-10-19,"Probation","Completed","Violent"
"10125760","Female","White, non-Hispanic",2019,2019,2019-06-11,2019-06-17,"Probation","Revoked","Drugs"
"10125772","Male","White, non-Hispanic",2018,2020,2018-04-16,2020-12-13,"Parole","Revoked","Violent"
"10125776","Male","Black, non-Hispanic",2023,NA,2023-05-27,NA,"Probation",NA,"Drugs"
"10125785","Male","Missing",2019,2021,2019-04-13,2021-05-20,"Probation","Revoked","Violent"
"10125796","Male","Hispanic, any race",2020,2022,2020-01-04,2022-07-06,"Probation","Other","Violent"
"10125798","Male","Black, non-Hispanic",2020,2022,2020-10-14,2022-05-30,"Parole","Completed","Drugs"
"10125830","Male","White, non-Hispanic",2022,NA,2022-12-23,NA,"Parole",NA,"Violent"
"10125852","Male","Black, non-Hispanic",2018,2021,2018-12-26,2021-11-05,"Parole","Revoked","Violent"
"10125861","Male","White, non-Hispanic",2021,NA,2021-05-04,NA,"Parole",NA,"Drugs"
"10125865","Male","Black, non-Hispanic",2022,NA,2022-10-14,NA,"Probation",NA,"Drugs"
"10125867","Male","White, non-Hispanic",2008,NA,2008-12-05,NA,"Probation",NA,"Violent"
"10125877","Male","White, non-Hispanic",2018,NA,2018-07-12,NA,"Probation",NA,"Violent"
"10125914","Male","Hispanic, any race",2018,2020,2018-09-19,2020-09-05,"Parole","Completed","Violent"
"10125918","Male","White, non-Hispanic",2019,2021,2019-10-15,2021-10-17,"Probation","Revoked","Violent"
"10125919","Male","Black, non-Hispanic",2019,2021,2019-11-03,2021-02-11,"Probation","Completed","Property"
"10125960","Male","White, non-Hispanic",2019,NA,2019-08-31,NA,"Probation",NA,"Violent"
"10125967","Male","Black, non-Hispanic",2023,NA,2023-10-26,NA,"Parole",NA,"Other"
"10125969","Male","White, non-Hispanic",1990,NA,1990-05-18,NA,"Probation",NA,"Violent"
"10125972","Male","White, non-Hispanic",2023,2023,2023-02-14,2023-11-23,"Probation","Revoked","Property"
"10125979","Male","Black, non-Hispanic",2021,NA,2021-05-11,NA,"Probation",NA,"Other"
"10125981","Male","Black, non-Hispanic",2010,NA,2010-06-07,NA,"Probation",NA,"Violent"
"10126000","Male","Black, non-Hispanic",2018,2020,2018-09-09,2020-02-10,"Probation","Revoked","Violent"
"10126006","Male","Missing",2022,2023,2022-07-09,2023-08-14,"Parole","Completed","Violent"
"10126028","Male","White, non-Hispanic",2017,2020,2017-02-18,2020-02-06,"Parole","Revoked","Property"
"10126028","Male","White, non-Hispanic",2022,2022,2022-04-20,2022-04-27,"Probation","Revoked","Violent"
"10126034","Male","Black, non-Hispanic",2021,NA,2021-04-08,NA,"Probation",NA,"Property"
"10126057","Male","White, non-Hispanic",2022,2022,2022-01-28,2022-03-28,"Parole","Revoked","Property"
"10126059","Female","White, non-Hispanic",2019,2021,2019-07-01,2021-01-28,"Probation","Revoked","Drugs"
"10126068","Male","Other, non-Hispanic",2018,2020,2018-11-05,2020-07-18,"Probation","Completed","Other"
