person_id,start_date,end_date,offense_category,sex,race,start_year,end_year,supervision_type,end_reason
10124085,2003-11-01,2020-11-11,Drugs,Male,"Other race(s), non-Hispanic",2003,2020,Probation,Completed
10124098,1984-06-15,,Violent,Male,"Hispanic, any race",1984,,Probation,
10124114,2019-09-27,2021-05-04,Drugs,Male,"Hispanic, any race",2019,2021,Probation,Completed
10124125,2021-12-02,2023-02-21,Property,Male,"White, non-Hispanic",2021,2023,Probation,Completed
10124136,2021-09-20,2021-12-13,Drugs,Male,"Other race(s), non-Hispanic",2021,2021,Parole,Completed
10124146,2022-02-19,2022-03-20,Property,Male,"White, non-Hispanic",2022,2022,Parole,Completed
10124159,2021-10-27,2022-07-25,Violent,Male,"White, non-Hispanic",2021,2022,Parole,Completed
10124172,2020-07-28,2020-08-02,Property,Male,"Other race(s), non-Hispanic",2020,2020,Probation,Other
10124172,2023-05-19,2023-07-29,Public order,Male,"Other race(s), non-Hispanic",2023,2023,Probation,Completed
10124173,2018-02-07,2019-06-05,Property,Male,"Hispanic, any race",2018,2019,Probation,Completed
10124201,2021-06-17,2022-09-08,Drugs,Male,"White, non-Hispanic",2021,2022,Parole,Completed
10124211,2019-01-08,2020-03-25,Violent,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10124230,2017-05-24,2020-02-17,Property,Male,"Black, non-Hispanic",2017,2020,Probation,Revoked
10124234,2021-07-03,,Violent,Male,"White, non-Hispanic",2021,,Probation,
10124245,2019-06-08,2020-07-10,Drugs,Male,"Hispanic, any race",2019,2020,Parole,Revoked
10124250,2018-05-13,,Violent,Male,"White, non-Hispanic",2018,,Probation,
10124266,2022-07-05,2023-12-04,Property,Male,"Hispanic, any race",2022,2023,Parole,Revoked
10124269,2021-06-23,2021-07-05,Property,Male,Missing,2021,2021,Parole,Revoked
10124275,2023-09-09,,Property,Male,Missing,2023,,Probation,
10124277,2016-08-22,,Violent,Male,"White, non-Hispanic",2016,,Parole,
10124278,2020-09-28,2021-07-26,Property,Male,"White, non-Hispanic",2020,2021,Probation,Revoked
10124286,2022-07-07,2023-04-11,Drugs,Male,"Black, non-Hispanic",2022,2023,Probation,Completed
10124293,2019-09-22,2019-10-27,Violent,Male,"Hispanic, any race",2019,2019,Probation,Completed
10124299,2023-01-18,2023-01-22,Drugs,Male,"White, non-Hispanic",2023,2023,Parole,Revoked
10124300,2020-03-21,2021-03-19,Public order,Male,"White, non-Hispanic",2020,2021,Parole,Completed
10124303,2016-12-26,,Drugs,Male,"Black, non-Hispanic",2016,,Probation,
10124305,2020-01-15,2021-04-22,Drugs,Male,"Other race(s), non-Hispanic",2020,2021,Probation,Completed
10124314,2019-01-19,2019-11-18,Drugs,Male,"Black, non-Hispanic",2019,2019,Probation,Completed
10124316,2022-11-26,2023-11-04,Drugs,Female,"White, non-Hispanic",2022,2023,Probation,Completed
10124321,2021-02-14,2023-12-24,Public order,Male,"White, non-Hispanic",2021,2023,Parole,Completed
10124328,2016-06-11,2020-12-23,Public order,Male,"White, non-Hispanic",2016,2020,Probation,Completed
10124338,2019-04-26,2019-07-15,Property,Female,"White, non-Hispanic",2019,2019,Probation,Completed
10124345,2021-12-27,2022-07-12,Public order,Male,"White, non-Hispanic",2021,2022,Probation,Other
10124348,2020-03-09,2022-02-27,Missing,Male,"White, non-Hispanic",2020,2022,Probation,Completed
10124355,2020-01-18,2022-08-11,Drugs,Male,"Hispanic, any race",2020,2022,Probation,Revoked
10124373,2019-12-28,2020-10-01,Violent,Male,"Black, non-Hispanic",2019,2020,Probation,Completed
10124377,2022-11-02,2023-06-16,Public order,Male,"White, non-Hispanic",2022,2023,Probation,Completed
10124384,2017-12-27,2020-12-02,Property,Male,"White, non-Hispanic",2017,2020,Parole,Revoked
10124389,2020-06-27,2020-11-02,Drugs,Male,"White, non-Hispanic",2020,2020,Parole,Completed
10124430,2023-05-28,2023-06-05,Violent,Male,"White, non-Hispanic",2023,2023,Probation,Completed
10124432,2016-03-06,,Violent,Male,"White, non-Hispanic",2016,,Parole,
10124433,2014-10-05,,Violent,Male,"Hispanic, any race",2014,,Probation,
10124433,2021-01-16,2021-11-25,Drugs,Male,"Hispanic, any race",2021,2021,Probation,Completed
10124447,2013-06-07,2022-10-23,Violent,Male,"Black, non-Hispanic",2013,2022,Probation,Completed
10124491,2019-09-28,2019-11-12,Violent,Male,"Black, non-Hispanic",2019,2019,Probation,Completed
10124505,2012-05-21,,Property,Male,"White, non-Hispanic",2012,,Parole,
10124524,2020-10-25,2023-08-08,Drugs,Male,"Hispanic, any race",2020,2023,Probation,Completed
10124526,2019-05-19,2020-06-08,Property,Male,"White, non-Hispanic",2019,2020,Probation,Revoked
10124558,2021-01-06,2022-04-02,Property,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10124560,2023-01-28,,Drugs,Male,"White, non-Hispanic",2023,,Parole,
10124561,2019-06-12,2020-09-26,Violent,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10124564,2019-01-23,,Violent,Male,"Black, non-Hispanic",2019,,Probation,
10124582,2020-01-18,2021-04-07,Violent,Male,"Hispanic, any race",2020,2021,Probation,Completed
10124582,2023-10-13,,Property,Male,"Hispanic, any race",2023,,Probation,
10124638,2018-09-06,2020-08-16,Property,Male,"White, non-Hispanic",2018,2020,Parole,Completed
10124654,2015-10-22,2023-04-03,Violent,Male,"White, non-Hispanic",2015,2023,Parole,Completed
10124671,2018-08-27,2022-06-09,Violent,Male,"Black, non-Hispanic",2018,2022,Probation,Revoked
10124677,2021-01-01,2022-04-17,Public order,Male,"Hispanic, any race",2021,2022,Probation,Completed
10124682,2023-03-21,2023-09-12,Drugs,Male,"White, non-Hispanic",2023,2023,Probation,Completed
10124690,2018-07-22,2019-11-01,Drugs,Female,Missing,2018,2019,Probation,Revoked
10124693,2021-05-01,2021-11-29,Public order,Male,"Black, non-Hispanic",2021,2021,Probation,Completed
10124694,2008-03-27,,Violent,Male,"Other race(s), non-Hispanic",2008,,Probation,
10124716,2019-12-25,2019-12-27,Violent,Male,"Hispanic, any race",2019,2019,Parole,Completed
10124739,2016-09-10,,Property,Male,Missing,2016,,Parole,
10124744,2020-08-14,2020-12-23,Property,Female,"White, non-Hispanic",2020,2020,Parole,Completed
10124757,2019-07-07,2021-03-01,Violent,Female,"White, non-Hispanic",2019,2021,Parole,Revoked
10124761,2016-01-20,,Other/unspecified,Male,"White, non-Hispanic",2016,,Probation,
10124766,2009-08-18,2019-08-18,Violent,Male,"White, non-Hispanic",2009,2019,Probation,Completed
10124767,2020-08-09,2023-03-27,Property,Male,"White, non-Hispanic",2020,2023,Parole,Completed
10124769,2020-06-02,2023-11-18,Violent,Female,"White, non-Hispanic",2020,2023,Probation,Completed
10124772,2021-01-22,2021-02-21,Property,Male,"White, non-Hispanic",2021,2021,Probation,Completed
10124777,2020-10-22,2022-10-12,Property,Male,"White, non-Hispanic",2020,2022,Probation,Completed
10124781,2021-01-24,2022-01-03,Drugs,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10124785,2023-07-23,,Other/unspecified,Male,"White, non-Hispanic",2023,,Parole,
10124794,2021-02-14,2022-03-10,Drugs,Male,"Black, non-Hispanic",2021,2022,Parole,Completed
10124806,2019-08-29,2019-10-27,Property,Male,"White, non-Hispanic",2019,2019,Parole,Completed
10124809,2019-01-07,2019-11-28,Violent,Male,"Black, non-Hispanic",2019,2019,Parole,Completed
10124825,2021-03-04,2022-01-10,Violent,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10124839,2023-05-12,,Public order,Male,"Black, non-Hispanic",2023,,Parole,
10124841,2019-04-10,2021-09-26,Violent,Female,"White, non-Hispanic",2019,2021,Parole,Other
10124851,2015-10-25,2019-05-19,Violent,Male,"White, non-Hispanic",2015,2019,Probation,Completed
10124857,2021-03-08,2021-05-14,Property,Female,"White, non-Hispanic",2021,2021,Probation,Completed
10124868,2021-03-19,2022-09-03,Violent,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10124878,2014-03-19,,Violent,Male,"Hispanic, any race",2014,,Parole,
10124881,2020-08-08,,Violent,Male,"White, non-Hispanic",2020,,Probation,
10124882,2015-02-13,2023-08-30,Violent,Male,Missing,2015,2023,Probation,Other
10124902,2019-06-21,2020-01-06,Property,Male,Missing,2019,2020,Probation,Other
10124911,2018-06-06,2019-08-27,Property,Male,"White, non-Hispanic",2018,2019,Probation,Completed
10124924,2015-02-04,2020-12-25,Violent,Male,"Black, non-Hispanic",2015,2020,Parole,Completed
10124930,2018-10-15,2019-02-16,Drugs,Male,"Black, non-Hispanic",2018,2019,Parole,Completed
10124939,2018-03-26,2019-02-14,Violent,Male,Missing,2018,2019,Probation,Completed
10124944,2022-06-18,,Property,Male,"Black, non-Hispanic",2022,,Parole,
10124958,2022-12-18,2022-12-19,Drugs,Male,"Other race(s), non-Hispanic",2022,2022,Probation,Completed
10124966,2023-04-23,,Violent,Male,"White, non-Hispanic",2023,,Probation,
10125059,2018-06-30,,Property,Male,Missing,2018,,Probation,
10125061,2023-02-22,,Violent,Male,"White, non-Hispanic",2023,,Parole,
10125074,2018-10-21,2020-07-08,Public order,Male,"Black, non-Hispanic",2018,2020,Probation,Other
10125085,2020-08-21,2020-10-05,Drugs,Male,"White, non-Hispanic",2020,2020,Parole,Completed
10125088,2021-08-05,2021-08-24,Drugs,Male,"Hispanic, any race",2021,2021,Probation,Other
10125101,2020-12-30,,Violent,Male,Missing,2020,,Probation,
10125117,2018-01-08,2019-09-28,Property,Male,"White, non-Hispanic",2018,2019,Probation,Completed
10125121,2021-05-08,2022-12-30,Drugs,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10125123,2016-04-01,,Violent,Male,"Black, non-Hispanic",2016,,Probation,
10125127,2017-08-25,2021-10-13,Drugs,Male,Missing,2017,2021,Probation,Completed
10125130,2014-11-05,2020-01-30,Drugs,Male,"Black, non-Hispanic",2014,2020,Parole,Revoked
10125136,2019-07-11,2019-08-08,Violent,Male,"Black, non-Hispanic",2019,2019,Probation,Completed
10125148,2007-07-10,,Violent,Male,"White, non-Hispanic",2007,,Parole,
10125148,2021-10-24,2022-09-29,Public order,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10125152,2022-05-16,2022-09-11,Property,Male,"White, non-Hispanic",2022,2022,Probation,Completed
10125169,2022-03-12,2023-04-22,Public order,Male,"Hispanic, any race",2022,2023,Probation,Completed
10125171,2023-04-14,2023-11-10,Public order,Male,"White, non-Hispanic",2023,2023,Probation,Completed
10125172,2023-05-30,,Drugs,Male,"Black, non-Hispanic",2023,,Parole,
10125178,2022-12-15,,Property,Male,"Hispanic, any race",2022,,Probation,
10125181,2023-07-28,2023-07-28,Public order,Male,"Black, non-Hispanic",2023,2023,Probation,Completed
10125183,2018-10-24,2019-07-11,Public order,Male,"Hispanic, any race",2018,2019,Parole,Completed
10125189,2019-10-09,,Violent,Male,Missing,2019,,Probation,
10125193,2020-08-26,2020-11-08,Drugs,Female,"White, non-Hispanic",2020,2020,Probation,Completed
10125200,2023-01-16,2023-07-05,Drugs,Male,"White, non-Hispanic",2023,2023,Parole,Revoked
10125201,2021-09-01,2022-03-03,Violent,Male,"White, non-Hispanic",2021,2022,Probation,Other
10125202,2018-04-21,2019-07-14,Violent,Male,Missing,2018,2019,Probation,Revoked
10125209,2020-08-02,2021-04-20,Violent,Male,"White, non-Hispanic",2020,2021,Probation,Other
10125261,2021-01-03,2022-09-23,Property,Male,"Black, non-Hispanic",2021,2022,Probation,Completed
10125265,2019-08-31,2020-09-22,Public order,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10125282,2019-06-22,2021-05-03,Property,Male,"Hispanic, any race",2019,2021,Probation,Completed
10125283,2018-10-12,2020-05-20,Violent,Male,"Black, non-Hispanic",2018,2020,Probation,Completed
10125287,2021-04-11,2022-12-08,Property,Male,Missing,2021,2022,Parole,Other
10125295,2021-07-25,2022-10-08,Property,Male,"White, non-Hispanic",2021,2022,Probation,Other
10125301,2019-01-01,2019-12-26,Drugs,Female,"Other race(s), non-Hispanic",2019,2019,Probation,Completed
10125316,2021-01-23,2023-02-19,Public order,Male,"White, non-Hispanic",2021,2023,Parole,Completed
10125319,2020-12-24,2022-10-17,Property,Male,"White, non-Hispanic",2020,2022,Probation,Completed
10125342,2017-10-09,2021-05-25,Violent,Male,"White, non-Hispanic",2017,2021,Parole,Revoked
10125363,2020-05-19,2021-07-11,Public order,Male,"White, non-Hispanic",2020,2021,Probation,Revoked
10125391,2021-10-08,2022-08-08,Drugs,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10125393,2022-03-21,2023-06-29,Violent,Male,"Black, non-Hispanic",2022,2023,Probation,Completed
10125400,2016-06-27,2019-05-29,Violent,Male,"Black, non-Hispanic",2016,2019,Probation,Completed
10125401,2020-10-31,2021-06-22,Public order,Male,"White, non-Hispanic",2020,2021,Probation,Other
10125420,2017-02-15,2019-06-03,Property,Male,"White, non-Hispanic",2017,2019,Probation,Completed
10125425,2020-01-01,2022-03-29,Violent,Male,"Black, non-Hispanic",2020,2022,Probation,Other
10125441,2020-09-25,,Violent,Male,"Black, non-Hispanic",2020,,Probation,
10125481,2018-09-14,2021-09-23,Violent,Female,"Hispanic, any race",2018,2021,Probation,Other
10125499,2019-02-05,2021-01-01,Public order,Male,"White, non-Hispanic",2019,2021,Parole,Revoked
10125505,2022-01-25,2023-02-15,Violent,Male,"Black, non-Hispanic",2022,2023,Parole,Other
10125513,2022-01-16,,Property,Male,Missing,2022,,Probation,
10125523,2017-11-30,,Violent,Male,Missing,2017,,Parole,
10125523,2020-01-24,2022-07-11,Violent,Male,Missing,2020,2022,Probation,Completed
10125539,2018-06-15,2019-08-09,Property,Female,"Black, non-Hispanic",2018,2019,Probation,Completed
10125558,2023-09-23,2023-12-13,Public order,Male,Missing,2023,2023,Probation,Completed
10125579,2022-11-08,,Property,Male,"White, non-Hispanic",2022,,Parole,
10125587,2018-03-09,2019-06-21,Drugs,Male,"White, non-Hispanic",2018,2019,Parole,Other
10125589,2019-05-04,2020-02-25,Public order,Male,Missing,2019,2020,Parole,Completed
10125595,2018-03-18,2022-06-09,Drugs,Female,Missing,2018,2022,Parole,Completed
10125605,2021-08-23,2021-08-25,Property,Male,"White, non-Hispanic",2021,2021,Probation,Completed
10125606,2023-07-21,,Drugs,Male,"Black, non-Hispanic",2023,,Probation,
10125616,2020-08-30,2023-04-21,Violent,Male,"White, non-Hispanic",2020,2023,Probation,Completed
10125619,2017-12-09,2019-04-01,Public order,Male,Missing,2017,2019,Parole,Completed
10125640,2019-08-02,2019-08-30,Drugs,Male,Missing,2019,2019,Probation,Completed
10125645,2020-03-26,2020-09-03,Property,Male,"White, non-Hispanic",2020,2020,Probation,Completed
10125651,2022-10-17,,Drugs,Female,"Other race(s), non-Hispanic",2022,,Probation,
10125660,2021-04-14,2021-06-28,Drugs,Male,"Hispanic, any race",2021,2021,Probation,Revoked
10125674,2020-03-22,2021-12-29,Property,Male,"Black, non-Hispanic",2020,2021,Parole,Other
10125685,2018-05-12,2019-10-21,Drugs,Male,"Black, non-Hispanic",2018,2019,Parole,Revoked
10125687,2011-05-08,2019-03-13,Violent,Male,"Hispanic, any race",2011,2019,Probation,Completed
10125699,2018-04-13,2020-08-10,Public order,Male,"White, non-Hispanic",2018,2020,Parole,Revoked
10125700,2021-04-13,2021-11-07,Property,Male,"White, non-Hispanic",2021,2021,Probation,Completed
10125705,2020-06-16,2021-05-16,Violent,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10125720,2020-08-29,2021-12-02,Property,Male,"White, non-Hispanic",2020,2021,Parole,Completed
10125720,2021-08-26,2021-09-05,Violent,Male,"White, non-Hispanic",2021,2021,Probation,Revoked
10125722,2017-02-05,2019-01-11,Drugs,Female,"Black, non-Hispanic",2017,2019,Probation,Completed
10125726,2019-05-25,2022-01-28,Public order,Male,"Hispanic, any race",2019,2022,Probation,Completed
10125742,2020-08-08,2020-12-13,Drugs,Male,"Hispanic, any race",2020,2020,Probation,Completed
10125753,2017-09-04,2022-10-28,Public order,Female,"Hispanic, any race",2017,2022,Probation,Other
10125756,2020-07-18,2020-10-20,Property,Male,"Hispanic, any race",2020,2020,Parole,Completed
10125757,2019-05-22,2019-09-29,Violent,Male,"Black, non-Hispanic",2019,2019,Probation,Completed
10125762,2020-04-07,2020-05-01,Drugs,Male,"Black, non-Hispanic",2020,2020,Parole,Completed
10125764,2019-11-28,2023-03-17,Drugs,Male,"White, non-Hispanic",2019,2023,Probation,Completed
10125771,2022-10-27,2023-08-02,Violent,Male,"White, non-Hispanic",2022,2023,Probation,Completed
10125773,2022-11-09,,Violent,Male,"White, non-Hispanic",2022,,Probation,
10125787,2020-06-28,2021-01-07,Drugs,Male,"White, non-Hispanic",2020,2021,Probation,Revoked
10125789,2001-10-20,,Violent,Male,Missing,2001,,Probation,
10125789,2019-05-30,2020-07-10,Drugs,Male,Missing,2019,2020,Parole,Completed
10125822,2018-09-07,2020-04-20,Drugs,Male,"Black, non-Hispanic",2018,2020,Probation,Completed
10125828,2020-08-19,2023-10-28,Violent,Male,"Hispanic, any race",2020,2023,Probation,Revoked
10125839,2020-03-02,2020-06-20,Violent,Male,"White, non-Hispanic",2020,2020,Parole,Other
10125872,1996-05-11,,Violent,Male,"White, non-Hispanic",1996,,Probation,
10125892,2021-11-20,,Violent,Male,Missing,2021,,Probation,
10125902,2020-02-08,2021-06-28,Public order,Male,"Black, non-Hispanic",2020,2021,Parole,Completed
10125916,2019-03-03,2019-08-10,Drugs,Male,"White, non-Hispanic",2019,2019,Parole,Revoked
10125928,2012-05-17,2020-12-27,Drugs,Female,"White, non-Hispanic",2012,2020,Probation,Completed
10125931,2017-03-22,,Violent,Male,"White, non-Hispanic",2017,,Probation,
10125931,2022-11-05,,Property,Male,"White, non-Hispanic",2022,,Parole,
10125951,2019-06-30,2019-11-08,Drugs,Male,"Black, non-Hispanic",2019,2019,Probation,Completed
10125960,2016-07-12,,Violent,Male,"White, non-Hispanic",2016,,Parole,
10125969,2019-08-08,2021-09-23,Violent,Male,"White, non-Hispanic",2019,2021,Probation,Completed
10125983,2019-06-29,2019-08-17,Public order,Female,"White, non-Hispanic",2019,2019,Probation,Completed
10125984,2020-08-22,,Drugs,Male,"White, non-Hispanic",2020,,Probation,
10125987,2018-10-25,2020-10-09,Property,Male,"White, non-Hispanic",2018,2020,Probation,Completed
10126028,2018-03-30,2019-01-16,Violent,Male,"Black, non-Hispanic",2018,2019,Probation,Revoked
10126034,2014-05-11,2022-06-23,Property,Male,"Black, non-Hispanic",2014,2022,Probation,Other
10126042,2021-07-13,2022-12-28,Drugs,Male,"Black, non-Hispanic",2021,2022,Probation,Completed
10126043,2020-05-29,2021-02-11,Public order,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10126116,2019-08-05,2023-09-01,Violent,Male,"Black, non-Hispanic",2019,2023,Probation,Completed
10126120,2020-07-05,2022-02-24,Violent,Male,"White, non-Hispanic",2020,2022,Probation,Completed
10126125,2018-06-13,2019-02-28,Drugs,Male,"White, non-Hispanic",2018,2019,Probation,Completed
10126137,2019-03-10,2021-09-12,Violent,Male,"Black, non-Hispanic",2019,2021,Probation,Completed
10126139,2021-06-25,2021-10-03,Violent,Male,"White, non-Hispanic",2021,2021,Parole,Completed
10126144,2019-06-27,2019-09-28,Public order,Male,"White, non-Hispanic",2019,2019,Probation,Completed
10126175,2018-08-21,2019-11-14,Public order,Female,"White, non-Hispanic",2018,2019,Parole,Completed
10126180,2019-08-25,,Violent,Male,"Other race(s), non-Hispanic",2019,,Probation,
10126221,2021-07-13,2021-08-25,Public order,Male,"White, non-Hispanic",2021,2021,Probation,Completed
10126234,2023-06-06,2023-08-18,Violent,Male,"Other race(s), non-Hispanic",2023,2023,Probation,Other
10126278,2021-02-20,2021-07-18,Property,Male,"White, non-Hispanic",2021,2021,Parole,Completed
10126294,2020-08-05,2021-11-04,Drugs,Female,"Black, non-Hispanic",2020,2021,Probation,Completed
10126311,2022-09-13,2022-11-18,Property,Male,"White, non-Hispanic",2022,2022,Parole,Completed
10126312,2019-12-22,2020-06-24,Violent,Male,"White, non-Hispanic",2019,2020,Probation,Revoked
10126315,2019-06-29,2023-03-08,Violent,Male,"White, non-Hispanic",2019,2023,Parole,Other
10126340,2022-01-24,2022-05-24,Violent,Male,"Other race(s), non-Hispanic",2022,2022,Probation,Completed
10126352,2017-03-04,2019-05-14,Drugs,Male,"Black, non-Hispanic",2017,2019,Parole,Completed
10126355,2023-08-17,2023-12-27,Public order,Male,"Black, non-Hispanic",2023,2023,Probation,Revoked
10126385,2019-01-06,2021-04-12,Public order,Male,"Black, non-Hispanic",2019,2021,Probation,Completed
10126388,2021-06-03,,Property,Male,Missing,2021,,Parole,
10126389,2022-11-22,2023-02-23,Drugs,Male,"Black, non-Hispanic",2022,2023,Probation,Completed
10126451,2022-02-08,2022-10-27,Public order,Male,"Black, non-Hispanic",2022,2022,Probation,Revoked
10126476,2018-04-04,,Violent,Male,"Hispanic, any race",2018,,Probation,
10126483,2023-01-16,2023-08-22,Public order,Male,"White, non-Hispanic",2023,2023,Probation,Revoked
10126517,2019-01-04,2022-12-21,Drugs,Male,"White, non-Hispanic",2019,2022,Probation,Completed
10126518,2019-11-04,,Property,Male,"White, non-Hispanic",2019,,Parole,
10126529,2019-07-13,2019-07-23,Violent,Male,"Black, non-Hispanic",2019,2019,Probation,Other
10126529,2022-03-10,2022-11-28,Property,Male,"Black, non-Hispanic",2022,2022,Probation,Other
