"id","gender","race","hearing_year","hearing_type","risk_level"
90,"Male","American Indian or Alaskan Native",2019,"Regular","Medium"
91,"Male","White",2023,"Revocation","Medium"
92,"Female","White",2018,NA,"Medium"
93,"Male","White",2016,"Other","High"
94,"Male","White",2021,"Regular","High"
95,"Male","White",2018,NA,"Medium"
96,"Male","White",2022,"Revocation","High"
97,"Female",NA,2018,NA,"Low"
98,"Female","White",2023,"Revocation","Medium"
99,"Male","White",2021,"Regular","High"
100,NA,"Unknown",2019,"Regular","Medium"
101,"Male","White",2019,"Regular","High"
102,"Female","White",2021,"Regular","Medium"
103,"Male","American Indian or Alaskan Native",2021,"Regular","High"
104,"Male","White",2016,"Other","High"
105,"Male","American Indian or Alaskan Native",2016,"Other","Medium"
106,"Female","White",2016,"Other","Low"
107,"Male","White",2018,NA,"Medium"
108,"Female","White",2019,"Regular","Low"
109,"Male","White",2018,NA,"Medium"
110,"Male","White",2023,"Revocation","Medium"
111,"Male","White",2022,"Revocation","High"
112,"Male","White",2019,"Regular","High"
113,"Male","White",2021,"Regular","High"
114,"Male","White",2020,"Regular","Medium"
115,"Male","White",2021,"Regular","Medium"
116,"Male","White",2022,"Revocation","High"
117,"Male","White",2023,"Revocation","High"
118,"Male","White",2019,"Regular","High"
119,"Male","White",2019,"Regular",NA
120,"Male","White",2021,"Regular","Medium"
121,"Male","White",2018,NA,"Medium"
122,"Male","White",2019,"Regular","Medium"
123,"Male","White",2023,"Revocation","High"
124,"Male","White",2018,NA,"Medium"
125,"Male","White",2022,"Revocation","High"
126,"Male","Black",2016,"Other","High"
127,"Male","White",2019,"Regular","High"
128,"Female","White",2018,NA,"Medium"
129,"Male","White",2020,"Regular","High"
130,"Male","White",2022,"Revocation","High"
131,"Male","White",2016,"Other","High"
132,"Female","White",2019,"Regular","Low"
133,"Male","White",2021,"Regular","High"
134,"Male","White",2016,"Other","Medium"
135,"Male","Black",2020,"Regular","High"
136,"Male","White",2019,"Regular","High"
137,"Male","White",2022,"Revocation","Medium"
138,"Male","White",2018,NA,"High"
139,"Male","White",2018,NA,NA
140,"Male","White",2018,NA,"High"
141,"Female","White",2021,"Regular","Medium"
142,"Male","White",2018,NA,"Medium"
143,"Male","White",2023,"Revocation","Medium"
144,"Male",NA,2023,"Revocation",NA
145,"Male","White",2019,"Regular","High"
146,"Male","White",2023,"Revocation","High"
147,"Male","White",2020,"Regular","High"
148,"Male",NA,2021,"Regular","Medium"
149,"Female","White",2019,"Regular","Low"
150,"Male",NA,2016,"Other",NA
151,"Male","White",2021,"Regular","Medium"
152,"Male","White",2016,"Other","High"
153,"Female","White",2017,"Regular","Medium"
154,"Male","White",2021,"Regular","Medium"
155,"Female",NA,2019,"Regular","Medium"
156,"Male","White",2022,"Regular","High"
157,"Male","White",2020,"Regular","Medium"
158,"Male","White",2023,"Revocation","High"
159,"Male","White",2017,"Regular","High"
160,"Male","White",2016,"Other","Medium"
161,"Male","White",2020,"Regular","Medium"
162,"Male","Black",2019,"Regular","Medium"
163,"Male","White",2018,NA,"Medium"
164,"Male","White",2021,"Regular","High"
165,"Male","White",2023,"Revocation","High"
166,NA,"White",2019,"Regular","Low"
167,"Male","White",2017,"Regular","High"
168,"Male","White",2023,"Revocation","High"
169,"Male","White",2020,"Regular","High"
170,"Male","White",2022,"Revocation","High"
171,"Male","White",2018,NA,"Medium"
172,"Male","White",2019,"Regular","Medium"
173,"Male","White",2016,"Other","High"
174,"Male","Black",2021,"Regular","Medium"
175,"Male","White",2018,NA,"Medium"
176,"Male","White",2021,"Regular","High"
177,"Male","White",2017,"Regular","Medium"
178,"Male","White",2021,"Regular","High"
179,"Male","White",2018,NA,"High"
180,"Male","White",2023,"Revocation","Medium"
181,"Female",NA,2019,"Regular","Medium"
182,NA,"White",2019,"Regular","Medium"
183,"Male","White",2018,NA,"High"
184,"Male","White",2022,"Revocation","Medium"
185,"Male","White",2018,NA,"Medium"
186,"Male","White",2021,"Regular","Medium"
187,"Male","White",2022,"Revocation","Medium"
188,"Male","White",2017,"Regular",NA
189,"Male","White",2021,"Regular","High"
190,"Male","White",2021,"Regular","Medium"
191,"Male","White",2020,"Regular","High"
192,"Male","White",2021,"Regular","High"
193,"Female","White",2016,"Other","Medium"
194,"Female","White",2022,"Revocation","Low"
195,"Male","White",2023,"Revocation","High"
196,"Male","White",2019,"Regular",NA
197,"Male","White",2019,"Regular","High"
198,"Male","White",2018,NA,"High"
199,"Male","White",2023,"Revocation","High"
200,"Male","White",2019,"Regular","High"
201,"Male","White",2019,"Regular","Medium"
202,"Male","White",2022,"Revocation","Medium"
203,"Male","White",2017,"Regular","Medium"
204,NA,"White",2019,"Regular","Medium"
205,"Male","American Indian or Alaskan Native",2017,"Regular","Medium"
206,"Male","American Indian or Alaskan Native",2021,"Regular","Medium"
207,"Male","White",2018,NA,"Medium"
208,"Male","White",2021,"Regular","Medium"
209,"Male","White",2020,"Regular","High"
210,"Male","White",2022,"Revocation","High"
211,"Male","White",2018,NA,"High"
212,"Female","Black",2021,"Regular","Medium"
213,"Male","White",2018,NA,"Medium"
214,"Male","White",2022,"Revocation","High"
215,NA,"White",2019,"Regular","Low"
216,"Male","White",2016,"Other","High"
217,"Male","White",2018,NA,"Medium"
218,"Male","White",2022,"Regular","High"
219,"Male","White",2021,"Regular","Medium"
220,"Female","White",2019,"Regular","Medium"
221,"Male","White",2022,"Revocation","High"
222,"Male","White",2018,NA,"High"
223,"Male","White",2022,"Revocation","Medium"
224,"Male","White",2021,"Regular","High"
225,"Male","White",2018,NA,"High"
226,"Male","White",2022,"Revocation","High"
227,"Male","White",2022,"Revocation","High"
228,"Male","White",2017,"Regular","High"
229,"Male","White",2016,"Other","High"
230,"Male","White",2020,"Regular","High"
231,"Male","White",2017,"Regular","Medium"
232,"Male","White",2019,"Regular","Medium"
233,"Male","White",2018,NA,"High"
234,"Male","White",2022,"Revocation","High"
235,"Male","White",2018,NA,NA
236,"Male","White",2021,"Regular","Medium"
237,NA,"White",2018,NA,"Medium"
238,"Male","White",2017,"Regular","Medium"
239,"Male","White",2019,"Regular","Medium"
240,"Male","White",2022,"Revocation","High"
241,"Male","White",2016,"Other","High"
242,"Male","White",2021,"Regular","Medium"
243,"Male","White",2020,"Regular","High"
244,"Male","White",2021,"Regular","High"
245,"Male","American Indian or Alaskan Native",2022,"Revocation","Medium"
246,"Male","White",2016,"Disciplinary","High"
247,"Male","White",2016,"Other","High"
248,"Male","White",2023,"Revocation","Medium"
249,"Male","White",2018,NA,NA
250,"Male","White",2020,"Regular","High"
251,"Female","White",2016,"Other","Low"
252,"Male",NA,2017,"Regular","Medium"
253,"Male","White",2023,"Revocation","High"
254,"Male","American Indian or Alaskan Native",2023,"Revocation","Medium"
255,"Male","White",2016,"Other","Medium"
256,"Male","White",2018,NA,"High"
257,"Female","White",2017,"Regular","Low"
258,"Male","American Indian or Alaskan Native",2017,"Regular","Medium"
259,"Male","White",2022,"Revocation","Medium"
260,"Male","White",2016,"Other","Medium"
261,"Male","White",2021,"Regular","High"
262,"Male","White",2023,"Revocation","Medium"
263,"Male","White",2020,"Regular","High"
264,"Male","White",2018,NA,"High"
265,"Male","White",2020,"Regular","High"
266,"Male","White",2016,"Other","Medium"
267,"Male","White",2022,"Revocation","Medium"
268,"Male","White",2020,"Regular","High"
269,"Male","Black",2019,"Regular","High"
270,"Male","White",2019,"Regular","Medium"
271,"Male","Black",2019,"Regular","High"
272,"Female","White",2016,"Other","Medium"
273,"Male","White",2018,NA,"Medium"
274,"Male","White",2021,"Regular","High"
275,"Male","American Indian or Alaskan Native",2019,"Regular","High"
276,"Male","White",2023,"Revocation","Medium"
277,"Male","White",2017,"Regular","High"
278,"Male","White",2017,"Regular","Medium"
279,"Male","White",2022,"Revocation","High"
280,"Male",NA,2023,"Revocation","High"
281,"Male","White",2021,"Regular","Medium"
282,"Male","White",2018,NA,"High"
283,"Female","Asian or Pacific Islander",2023,"Revocation","Medium"
284,"Male",NA,2018,NA,"Medium"
285,NA,"White",2021,"Regular","Low"
286,"Male","White",2022,"Revocation","High"
287,"Male","White",2022,"Revocation","Medium"
288,"Female","White",2017,"Other","Medium"
289,"Male","White",2022,"Revocation","Medium"
290,"Male","White",2016,"Other","High"
291,"Male","American Indian or Alaskan Native",2023,"Revocation","High"
292,"Male","White",2020,"Regular","High"
293,"Male","White",2016,"Other","Medium"
294,"Male","White",2021,"Regular","Medium"
295,"Male","White",2018,NA,"Medium"
296,"Male","White",2023,"Revocation","High"
297,"Male","White",2020,"Regular","High"
298,"Male","White",2017,"Regular","High"
299,"Male","White",2023,"Revocation","Medium"
300,"Male","White",2018,NA,"High"
301,"Male",NA,2019,"Regular","High"
302,"Male","White",2019,"Regular","High"
303,"Male","White",2022,"Revocation","Medium"
304,"Male","White",2019,"Regular","High"
305,"Male","White",2021,"Regular","High"
306,"Male","White",2016,"Disciplinary","High"
307,"Female","White",2021,"Regular","Low"
308,"Male","White",2022,"Revocation","High"
309,NA,"White",2019,"Regular","Low"
310,"Male","White",2016,"Other","High"
311,"Male","White",2021,"Regular","High"
312,"Female","White",2017,"Regular","Low"
313,"Male","White",2018,NA,"High"
314,"Male","White",2023,"Revocation","High"
315,"Male","White",2022,"Revocation","Medium"
316,"Male","American Indian or Alaskan Native",2017,"Regular","Medium"
317,"Male","White",2020,"Regular",NA
318,"Male","White",2018,NA,"Medium"
319,"Male","White",2021,"Regular","High"
320,"Male",NA,2022,"Revocation",NA
321,"Male","White",2023,"Revocation","High"
322,"Male","White",2020,"Regular","Medium"
323,"Male","White",2022,"Revocation","High"
324,"Male","White",2018,NA,"High"
325,"Male","White",2023,"Revocation","High"
326,"Male","White",2021,"Regular","Medium"
327,"Female","White",2019,"Regular","Medium"
328,"Male","White",2023,"Revocation","High"
329,"Female","White",2021,"Regular","Medium"
330,"Male","White",2019,"Regular","High"
331,"Male","White",2017,"Other","High"
332,"Male","White",2020,"Regular","High"
333,"Male","White",2017,"Regular","High"
334,"Male","White",2017,"Regular","Medium"
335,"Male","White",2021,"Regular",NA
336,"Male","White",2021,"Regular","High"
337,"Female","White",2020,"Regular","Medium"
338,"Male","White",2022,"Revocation","High"
339,"Male","White",2017,"Other","High"
340,"Male","White",2019,"Regular","High"
341,"Male","White",2019,"Regular","Medium"
342,"Male","White",2023,"Revocation","High"
343,"Male","White",2018,NA,"Medium"
344,"Male","White",2020,"Regular","High"
345,"Male",NA,2022,"Revocation","High"
346,"Male","White",2016,"Other","Medium"
347,NA,"White",2023,"Revocation","High"
348,"Male","White",2022,"Revocation","High"
349,"Female","White",2023,"Revocation","Medium"
350,"Male","Unknown",2022,"Revocation","Medium"
351,"Male","White",2019,"Regular","Medium"
352,"Male","White",2023,"Revocation","Medium"
353,"Male","White",2019,"Regular","High"
354,"Male","White",2023,"Revocation","High"
355,"Male","White",2018,NA,"Medium"
356,"Male","White",2021,"Regular",NA
357,"Male","White",2021,"Regular","High"
358,"Male","White",2017,"Regular","Medium"
359,"Male","White",2019,"Regular","High"
360,"Male","White",2023,"Revocation","Medium"
361,"Male","American Indian or Alaskan Native",2018,NA,"Medium"
362,"Male","White",2018,NA,"High"
363,"Male","White",2020,"Regular","Medium"
364,"Male","White",2016,"Other","High"
365,"Male","White",2020,"Regular","High"
366,"Male","White",2022,"Regular","Medium"
367,"Male","White",2019,"Regular","Medium"
368,"Male",NA,2019,"Regular","High"
369,"Male","White",2017,"Regular","High"
370,"Female","Black",2019,"Regular","Low"
371,"Male","White",2016,"Other","High"
372,"Male","Unknown",2023,"Revocation","Medium"
373,"Male","White",2017,"Regular","High"
374,"Male","White",2018,NA,"Medium"
375,"Male","White",2018,NA,"High"
376,"Male",NA,2022,"Revocation","High"
377,"Male","White",2018,NA,"Medium"
378,"Male","White",2021,"Regular","Medium"
379,"Male","White",2022,"Regular","Medium"
380,"Male","American Indian or Alaskan Native",2020,"Regular","High"
381,"Male","American Indian or Alaskan Native",2020,"Regular","Medium"
382,"Male","Unknown",2020,"Regular","High"
383,"Female","White",2021,"Regular","Medium"
384,"Female","White",2023,"Revocation","Low"
385,"Female","White",2021,"Regular","Medium"
386,"Male",NA,2022,"Revocation","Medium"
387,"Male",NA,2018,NA,"High"
388,"Male","White",2021,"Regular","High"
389,"Male","White",2017,"Regular","High"
390,"Male","White",2023,"Revocation","Medium"
391,"Male","Black",2019,"Regular","High"
392,"Male","White",2017,"Regular","High"
393,"Male","White",2021,"Regular","Medium"
394,"Female",NA,2021,"Regular","Low"
395,"Male","White",2021,"Regular","High"
396,NA,"White",2019,"Regular","Low"
397,"Male","White",2018,NA,"High"
398,"Male",NA,2023,"Revocation","High"
399,"Female","American Indian or Alaskan Native",2018,NA,"Low"
400,NA,"Black",2016,"Other","High"
401,"Male","Black",2018,NA,"High"
402,"Female","Unknown",2022,"Revocation","Medium"
403,"Male","White",2016,"Disciplinary","High"
404,"Male","White",2019,"Regular","High"
405,"Male","White",2019,"Regular","High"
406,"Male","White",2018,NA,"High"
407,"Male","White",2019,"Regular","High"
408,"Male","White",2016,"Other","Medium"
409,NA,"White",2023,"Revocation","High"
410,"Male","White",2022,"Revocation","High"
411,"Male","White",2019,"Regular","High"
412,"Male","White",2021,"Regular","High"
413,NA,"White",2022,"Revocation","Low"
414,"Male","White",2019,"Regular","High"
415,"Male","White",2016,"Other","Medium"
416,"Female","White",2019,"Regular","Medium"
417,"Male","White",2016,"Other","High"
418,"Male","White",2020,"Regular","High"
419,NA,NA,2023,"Revocation","Low"
420,"Male","White",2017,"Regular","High"
421,"Male","White",2017,"Regular","High"
422,"Male","White",2020,"Regular","High"
423,"Female","White",2020,"Regular","Medium"
424,"Male","White",2016,"Other","High"
425,"Male","White",2022,"Revocation","High"
426,"Female","White",2018,NA,"Medium"
427,"Male","White",2020,"Regular","Medium"
428,"Male","White",2020,"Regular","High"
429,"Male","White",2021,"Regular","High"
430,"Male","White",2023,"Revocation","High"
431,"Female","White",2018,NA,"Medium"
432,"Male","White",2019,"Regular","High"
433,"Male","White",2019,"Regular","Medium"
434,"Male","White",2021,"Regular","High"
435,"Male","White",2022,"Revocation","Medium"
436,"Female","White",2022,"Revocation","Medium"
437,"Male","White",2016,"Other","High"
438,"Male","White",2019,"Regular","Medium"
439,"Female","White",2018,NA,"Medium"
440,"Male","Black",2017,"Regular","Medium"
441,"Male","White",2016,"Other","Medium"
442,"Male",NA,2023,"Revocation","High"
443,"Male","White",2021,"Regular","High"
444,"Male","White",2021,"Regular","Medium"
445,"Male","White",2020,"Regular","High"
446,"Male",NA,2018,NA,"High"
447,"Male","White",2021,"Regular","High"
448,"Male","White",2022,"Revocation","Medium"
449,"Male","White",2017,"Regular","Medium"
450,"Male","White",2018,NA,"Medium"
451,"Male","White",2016,"Other",NA
452,"Male","White",2020,"Regular","High"
453,"Male","White",2021,"Regular","Medium"
454,"Male","White",2020,"Regular","High"
455,"Male","White",2016,"Other","Medium"
456,"Male","White",2016,"Disciplinary","High"
457,"Male","White",2018,NA,"High"
458,"Male","White",2019,"Regular","High"
459,"Male","White",2020,"Regular",NA
460,"Male","White",2019,"Regular","High"
461,"Male","White",2022,"Revocation",NA
462,"Male","White",2020,"Regular","Medium"
463,"Female",NA,2023,"Revocation","Medium"
464,"Male","White",2023,"Revocation","High"
465,"Male","American Indian or Alaskan Native",2020,"Regular","Medium"
466,"Female","White",2023,"Revocation","Medium"
467,"Male","White",2020,"Regular","High"
468,"Male","White",2017,"Other","Medium"
469,"Male","White",2019,"Regular","High"
470,"Female","White",2019,"Regular","Medium"
471,"Male","White",2019,"Regular","High"
472,"Male","White",2022,"Revocation","Medium"
473,"Male","White",2018,NA,"High"
474,"Male","White",2019,"Regular","High"
475,"Male","Unknown",2018,NA,"High"
476,"Male","American Indian or Alaskan Native",2018,NA,"Medium"
477,"Male","White",2022,"Revocation","Medium"
478,"Male","White",2019,"Regular","Medium"
479,"Male","White",2018,NA,"High"
480,"Male","White",2016,"Other","High"
481,"Male","White",2018,NA,"High"
482,"Male","White",2023,"Revocation","High"
483,"Male","White",2022,"Regular","High"
484,"Male","White",2019,"Regular","Medium"
485,"Male","White",2017,"Regular","Medium"
486,"Male","Unknown",2016,"Other","High"
487,"Male","White",2022,"Revocation","Medium"
488,"Male","White",2017,"Regular","High"
489,"Male","White",2023,"Revocation","Medium"
490,"Male","White",2019,"Regular","High"
491,"Male","White",2023,"Revocation","Medium"
492,"Male","Black",2016,"Disciplinary","Medium"
493,"Male","White",2018,NA,"High"
494,NA,"White",2017,"Regular","Low"
495,"Male","White",2017,"Regular","Medium"
496,"Male","White",2016,"Other","Medium"
497,"Male","White",2023,"Revocation","High"
498,"Male","American Indian or Alaskan Native",2023,"Revocation","High"
499,"Female","White",2021,"Regular","Low"
500,"Female","White",2019,"Regular","Medium"
501,"Male","White",2022,"Regular","High"
502,"Female","White",2017,"Regular","Medium"
503,"Male","White",2022,"Regular","High"
504,"Male","White",2022,"Revocation","High"
505,"Male","White",2023,"Revocation","High"
506,"Female","White",2016,"Other","Low"
507,NA,"White",2018,NA,"Low"
508,"Male","White",2017,"Regular","High"
509,"Male","Black",2020,"Regular","Medium"
510,"Male","White",2019,"Regular","Medium"
511,"Male","White",2023,"Revocation","High"
512,"Male","White",2023,"Revocation",NA
513,"Male","White",2021,"Regular","Medium"
514,"Female","White",2020,"Regular","Medium"
515,"Male","White",2019,"Regular","High"
516,"Male",NA,2023,"Revocation","Medium"
517,"Male","White",2019,"Regular","High"
518,"Male","White",2021,"Regular","High"
519,"Male","White",2019,"Regular","Medium"
520,"Male","American Indian or Alaskan Native",2016,"Disciplinary","Medium"
521,"Female","White",2017,"Regular","Medium"
522,"Male","White",2018,NA,"High"
523,"Male","White",2023,"Revocation","Medium"
524,"Male","White",2022,"Revocation","High"
525,"Male","White",2016,"Other","Medium"
526,"Male","Black",2022,"Regular","High"
527,"Female","White",2020,"Regular","Medium"
528,"Male","White",2019,"Regular","Medium"
529,"Male",NA,2023,"Revocation","High"
530,"Male","White",2017,"Regular","High"
531,"Male","White",2022,"Revocation","High"
532,"Male","Black",2019,"Regular","Medium"
533,"Male","White",2022,"Revocation","High"
534,"Male","White",2022,"Revocation","Medium"
535,NA,"White",2018,NA,"Low"
536,"Male","White",2018,NA,"High"
537,"Male","White",2023,"Revocation","Medium"
538,"Male","White",2019,"Regular","Medium"
539,"Male","White",2019,"Regular","High"
540,"Male","White",2016,"Other","Medium"
541,"Male","White",2017,"Regular","High"
542,"Female","White",2017,"Regular","Medium"
543,"Male","White",2017,"Regular","High"
544,"Male","White",2017,"Other","Medium"
545,"Male","White",2023,"Revocation","Medium"
546,"Male","Black",2017,"Regular","High"
547,"Female","White",2019,"Regular","Low"
548,"Female","White",2019,"Regular","Medium"
549,"Male","White",2021,"Regular","High"
550,"Male","White",2018,NA,"High"
551,"Male","White",2018,NA,"Medium"
552,"Male","White",2020,"Regular","High"
553,"Male","White",2020,"Regular","High"
554,"Male","White",2017,"Regular","High"
555,"Male","White",2023,"Revocation","High"
556,"Male","White",2023,"Revocation","Medium"
557,"Male","Black",2020,"Regular","High"
558,"Male","White",2022,"Regular",NA
559,"Male","American Indian or Alaskan Native",2019,"Regular","Medium"
560,"Male","White",2016,"Other",NA
561,"Male","White",2019,"Regular","High"
562,"Male","Unknown",2019,"Regular","High"
563,"Male","White",2016,"Other","High"
564,NA,"White",2019,"Regular","Low"
565,"Male","White",2020,"Regular","High"
566,"Male","White",2019,"Regular","High"
567,"Male","White",2023,"Revocation","High"
568,"Male","White",2018,NA,"Medium"
569,"Male","White",2017,"Regular","High"
570,"Male","White",2023,"Revocation","Medium"
571,"Female","American Indian or Alaskan Native",2023,"Revocation","Medium"
572,NA,"White",2020,"Regular","Medium"
573,"Male","White",2020,"Regular","High"
574,"Male","White",2023,"Revocation",NA
575,"Male","White",2022,"Revocation","High"
576,"Male","White",2017,"Regular","Medium"
577,"Male","White",2018,NA,"Medium"
578,"Male","White",2020,"Regular","Medium"
579,"Male","White",2018,NA,"High"
580,"Male","Asian or Pacific Islander",2020,"Regular","Medium"
581,"Male","White",2023,"Revocation","Medium"
582,NA,"White",2018,NA,"Low"
583,"Female","White",2020,"Regular","Low"
584,"Male","White",2018,NA,"High"
585,"Male","White",2023,"Revocation","Medium"
586,"Male","White",2019,"Regular","High"
587,"Male","White",2022,"Revocation","High"
588,"Male","White",2023,"Revocation","High"
589,"Female","White",2019,"Regular","Medium"
590,"Male","White",2017,"Regular","Medium"
591,"Male","White",2017,"Regular","High"
592,"Male","White",2019,"Regular","Medium"
593,"Male","White",2016,"Other","High"
594,"Male",NA,2018,NA,"High"
595,"Male","White",2016,"Other","Medium"
596,"Male","White",2018,NA,"Medium"
597,"Male","American Indian or Alaskan Native",2022,"Revocation","Medium"
598,"Male","White",2021,"Regular","High"
599,"Male","White",2016,"Other","High"
600,"Female","White",2017,"Regular","Medium"
601,"Male","White",2017,"Regular","Medium"
602,"Male","White",2021,"Regular","Medium"
603,"Male","White",2021,"Regular","Medium"
604,"Male","White",2020,"Regular","Medium"
605,"Male","White",2022,"Revocation","High"
606,"Male","White",2019,"Regular","Medium"
607,"Male","White",2020,"Regular","High"
608,"Male","White",2023,"Revocation","High"
609,"Male","White",2023,"Revocation","High"
610,"Male","White",2021,"Regular","High"
611,"Male","White",2019,"Regular","High"
612,"Male","White",2023,"Revocation","High"
613,"Male","White",2021,"Regular","High"
614,"Male","American Indian or Alaskan Native",2023,"Revocation","High"
615,NA,"White",2019,"Regular","Low"
616,"Male","White",2019,"Regular","High"
617,"Male","White",2017,"Regular","High"
618,"Male","White",2019,"Regular","High"
619,"Male","White",2018,NA,"High"
620,"Male","White",2019,"Regular","High"
621,"Male","White",2016,"Other","High"
622,"Male",NA,2016,"Disciplinary","High"
623,"Male","White",2016,"Other","Medium"
624,"Male",NA,2020,"Regular","High"
625,"Male","White",2019,"Regular",NA
626,"Male","American Indian or Alaskan Native",2021,"Regular","High"
627,"Male","White",2020,"Regular","High"
628,"Male","American Indian or Alaskan Native",2016,"Other","High"
629,"Male","White",2020,"Regular","High"
630,"Male",NA,2021,"Regular","High"
631,"Male","White",2019,"Regular","High"
632,"Male","White",2021,"Regular","Medium"
633,"Male","White",2016,"Other","Medium"
634,"Male","White",2020,"Regular","High"
635,"Male","White",2017,"Regular",NA
636,NA,"White",2016,"Disciplinary","Low"
637,"Male","White",2023,"Revocation","Medium"
638,"Male","American Indian or Alaskan Native",2022,"Revocation","High"
639,"Male","White",2023,"Revocation","High"
640,NA,"White",2019,"Regular","Low"
641,"Male","Black",2022,"Revocation","High"
642,"Male","White",2022,"Revocation","High"
643,"Male","American Indian or Alaskan Native",2022,"Revocation","High"
644,NA,"White",2020,"Regular","Low"
645,"Male","Black",2016,"Disciplinary","High"
646,"Male","White",2019,"Regular","High"
647,"Male","White",2016,"Disciplinary","Medium"
648,"Female","White",2017,"Other","Low"
649,NA,"White",2023,"Revocation","Low"
650,"Male","White",2017,"Regular","High"
651,"Female","White",2017,"Regular","Medium"
652,"Male","White",2021,"Regular","High"
653,"Male","White",2021,"Regular","Medium"
654,"Male","White",2019,"Regular","High"
655,NA,"White",2018,NA,"Low"
656,"Male","White",2018,NA,"Medium"
657,"Female","White",2019,"Regular","Medium"
658,"Female","White",2017,"Regular","Medium"
659,"Male","White",2022,"Revocation","High"
660,"Male","White",2022,"Revocation","High"
661,"Female","White",2021,"Regular","Low"
662,"Female","White",2017,"Regular","Medium"
663,"Female","White",2018,NA,"Medium"
664,"Male","Black",2022,"Revocation","High"
665,"Male","White",2019,"Regular","High"
666,"Male","White",2021,"Regular","High"
667,"Male","White",2023,"Revocation","Medium"
668,"Male","White",2022,"Revocation","Medium"
669,"Male","White",2018,NA,"High"
670,"Male","White",2017,"Regular","Medium"
671,"Male","White",2022,"Revocation","High"
672,"Female","White",2019,"Regular","Medium"
673,"Female","White",2019,"Regular","Medium"
674,"Male","White",2018,NA,"High"
675,"Male","White",2023,"Revocation","Medium"
676,"Male","White",2020,"Regular","High"
677,"Male","White",2022,"Revocation","High"
