person_id,facility_id,facility_name,facility_gender_policy,gender,race,offense_type,security_level,admission_date,parole_date
P000245,2,FAC002,Female-only,Female,Hispanic,Drug,Maximum,2024-08-06,2025-03-16
P000246,2,FAC002,Female-only,Female,Black,Violent,Medium,2018-03-12,
P000247,2,FAC002,Female-only,Female,Black,Violent,Medium,2024-12-10,
P000248,2,FAC002,Female-only,Female,White,Violent,Medium,2014-05-11,
P000249,2,FAC002,Female-only,Female,White,Violent,Maximum,2024-07-20,2025-07-27
P000250,2,FAC002,Female-only,Female,White,Violent,Maximum,2013-12-13,2015-10-05
P000251,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2015-01-29,2016-08-25
P000252,2,FAC002,Female-only,Female,White,Violent,Minimum,2014-02-23,2016-12-21
P000253,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2015-06-07,2023-02-06
P000254,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2020-05-26,2024-01-13
P000255,2,FAC002,Female-only,Female,Black,Property,Medium,2012-10-17,2022-04-11
P000256,2,FAC002,Female-only,Female,White,Violent,Maximum,2010-05-15,
P000257,2,FAC002,Female-only,Female,White,Property,Medium,2022-08-06,2024-04-16
P000258,2,FAC002,Female-only,Female,White,Property,Minimum,2020-12-27,
P000259,2,FAC002,Female-only,Female,White,Property,Maximum,2011-05-04,2014-12-01
P000260,2,FAC002,Female-only,Female,White,Property,Minimum,2020-10-14,2025-03-04
P000261,2,FAC002,Female-only,Female,Hispanic,Violent,Minimum,2013-11-16,2017-01-05
P000262,2,FAC002,Female-only,Female,White,Drug,Maximum,2022-06-04,
P000263,2,FAC002,Female-only,Female,Black,PublicOrder,Minimum,2023-06-28,2023-12-23
P000264,2,FAC002,Female-only,Female,Hispanic,Violent,Maximum,2018-04-28,
P000265,2,FAC002,Female-only,Female,Native American,Drug,Minimum,2017-09-08,2022-05-27
P000266,2,FAC002,Female-only,Female,Hispanic,Drug,Medium,2023-04-16,
P000267,2,FAC002,Female-only,Female,White,Property,Maximum,2017-06-30,2019-07-21
P000268,2,FAC002,Female-only,Female,Black,Drug,Minimum,2016-06-23,
P000269,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2022-11-19,2024-05-13
P000270,2,FAC002,Female-only,Female,Black,Violent,Medium,2024-08-29,2025-04-13
P000271,2,FAC002,Female-only,Female,Black,Violent,Medium,2019-05-14,
P000272,2,FAC002,Female-only,Female,Hispanic,Violent,Minimum,2023-05-24,2023-11-04
P000273,2,FAC002,Female-only,Female,White,Drug,Medium,2010-03-30,
P000274,2,FAC002,Female-only,Female,White,Violent,Minimum,2016-07-08,
P000275,2,FAC002,Female-only,Female,Native American,Violent,Medium,2022-06-12,
P000276,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2014-08-15,2019-04-25
P000277,2,FAC002,Female-only,Female,White,Property,Medium,2015-06-28,2024-10-24
P000278,2,FAC002,Female-only,Female,Black,Property,Minimum,2014-12-13,
P000279,2,FAC002,Female-only,Female,White,Property,Minimum,2019-02-25,2019-09-11
P000280,2,FAC002,Female-only,Female,Asian,PublicOrder,Medium,2010-01-08,
P000281,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2021-03-12,2021-06-04
P000282,2,FAC002,Female-only,Female,White,Violent,Maximum,2014-08-29,2016-08-22
P000283,2,FAC002,Female-only,Female,Black,Property,Medium,2015-08-15,2025-01-05
P000284,2,FAC002,Female-only,Female,Black,Violent,Minimum,2021-10-26,2024-04-12
P000285,2,FAC002,Female-only,Female,Black,Violent,Medium,2016-07-25,2023-07-03
P000286,2,FAC002,Female-only,Female,Black,Violent,Maximum,2022-03-08,
P000287,2,FAC002,Female-only,Female,White,Property,Medium,2022-10-25,2025-03-13
P000288,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2012-05-01,2018-09-04
P000289,2,FAC002,Female-only,Female,White,Drug,Minimum,2021-08-21,2022-09-23
P000290,2,FAC002,Female-only,Female,White,Violent,Minimum,2014-02-01,2017-11-12
P000291,2,FAC002,Female-only,Female,Hispanic,Property,Maximum,2012-07-25,2016-06-10
P000292,2,FAC002,Female-only,Female,White,Violent,Medium,2012-07-01,2016-11-12
P000293,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2017-01-19,2017-11-12
P000294,2,FAC002,Female-only,Female,Black,Property,Medium,2013-01-15,2014-04-23
P000295,2,FAC002,Female-only,Female,White,PublicOrder,Minimum,2024-04-18,2024-08-26
P000296,2,FAC002,Female-only,Female,Black,Property,Minimum,2014-09-16,
P000297,2,FAC002,Female-only,Female,Black,Drug,Medium,2025-01-23,2025-05-25
P000298,2,FAC002,Female-only,Female,White,Property,Medium,2023-08-05,2024-07-23
P000299,2,FAC002,Female-only,Female,White,Drug,Maximum,2025-04-23,
P000300,2,FAC002,Female-only,Female,Hispanic,Drug,Maximum,2014-11-05,2023-01-06
P000301,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2014-10-02,
P000302,2,FAC002,Female-only,Female,Black,Property,Medium,2018-04-07,2023-11-01
P000303,2,FAC002,Female-only,Female,White,Drug,Medium,2022-07-03,2023-12-08
P000304,2,FAC002,Female-only,Female,White,Drug,Maximum,2018-12-06,2023-05-09
P000305,2,FAC002,Female-only,Female,Black,Drug,Minimum,2010-06-22,2014-07-24
P000306,2,FAC002,Female-only,Female,Black,Drug,Medium,2012-03-28,2017-07-14
P000307,2,FAC002,Female-only,Female,Black,PublicOrder,Minimum,2023-10-16,2025-07-24
P000308,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2021-04-28,2023-07-01
P000309,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2024-02-04,2025-01-23
P000310,2,FAC002,Female-only,Female,White,Drug,Medium,2017-06-23,2024-06-14
P000311,2,FAC002,Female-only,Female,Black,Drug,Maximum,2020-01-14,2021-05-13
P000312,2,FAC002,Female-only,Female,White,Property,Minimum,2016-07-25,
P000313,2,FAC002,Female-only,Female,White,Violent,Medium,2024-10-09,
P000314,2,FAC002,Female-only,Female,White,Drug,Medium,2019-11-08,
P000315,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2019-05-09,
P000316,2,FAC002,Female-only,Female,Black,Drug,Minimum,2012-04-07,2020-11-26
P000317,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2011-09-17,2017-02-06
P000318,2,FAC002,Female-only,Female,White,Other,Medium,2022-02-15,
P000319,2,FAC002,Female-only,Female,Black,Drug,Medium,2014-03-16,
P000320,2,FAC002,Female-only,Female,White,Violent,Medium,2018-01-10,
P000321,2,FAC002,Female-only,Female,Black,Drug,Medium,2012-01-13,2017-11-23
P000322,2,FAC002,Female-only,Female,White,Property,Minimum,2015-07-01,2016-10-10
P000323,2,FAC002,Female-only,Female,Black,Violent,Minimum,2017-01-22,2017-05-26
P000324,2,FAC002,Female-only,Female,White,Violent,Medium,2023-07-08,2023-08-31
P000325,2,FAC002,Female-only,Female,Black,PublicOrder,Maximum,2016-06-27,
P000326,2,FAC002,Female-only,Female,White,Property,Maximum,2012-02-10,
