person_id,year,facility_id,facility_name,facility_gender_policy,gender,race,offense_type,security_level,admission_date,parole_date
P202100044,2021.0,2,FAC002,Female-only,Female,Hispanic,PublicOrder,,,2024-06-30
P202100045,2021.0,2,FAC002,Female-only,Female,Hispanic,,Minimum,2021-08-05,2022-04-11
P202100046,2021.0,2,FAC002,,,Black,Drug,Medium,2021-04-12,2022-04-12
P202100047,2021.0,2,,Female-only,Female,Black,,,2021-04-07,
P202100048,2021.0,2,FAC002,Female-only,Female,Native American,Other,Minimum,2021-10-28,
P202100049,2021.0,2,FAC002,,Female,,PublicOrder,Minimum,2021-07-31,
P202100050,2021.0,2,FAC002,Female-only,Female,White,Violent,Maximum,,2024-03-21
P202100051,2021.0,3,FAC003,Female-only,Female,Black,Drug,Medium,2021-11-30,2024-04-22
P202100052,2021.0,3,FAC003,Female-only,Female,White,Violent,Medium,2021-06-20,
P202100053,2021.0,3,FAC003,Female-only,Female,Other,Other,Minimum,2021-09-23,2023-07-16
P202100054,2021.0,3,FAC003,Female-only,Female,White,Violent,Medium,2021-06-16,
P202100055,2021.0,3,FAC003,Female-only,Female,Hispanic,,Minimum,2021-11-09,
P202100056,2021.0,3,FAC003,Female-only,Female,White,Violent,Maximum,,
P202100057,2021.0,3,FAC003,Female-only,Female,White,Violent,Maximum,2021-06-29,2023-10-09
P202100058,,3,FAC003,Female-only,,Hispanic,PublicOrder,Minimum,2021-05-22,
P202100059,2021.0,3,FAC003,Female-only,,White,Violent,Maximum,2021-10-27,2023-11-12
P202100060,,3,FAC003,Female-only,Female,Black,Property,Medium,2021-10-12,2024-06-04
P202100061,2021.0,3,FAC003,Female-only,Female,White,Violent,Medium,2021-02-19,
P202100062,2021.0,3,,Female-only,,Hispanic,PublicOrder,Minimum,2021-06-21,
P202100063,2021.0,3,FAC003,Female-only,Female,,Property,Medium,2021-02-10,2025-02-22
P202100064,2021.0,3,FAC003,Female-only,Female,White,,Medium,2021-04-15,
P202100065,2021.0,3,FAC003,Female-only,Female,Black,Property,Medium,2021-06-27,
P202100066,,3,FAC003,,Female,,Drug,Minimum,2021-11-03,2025-01-30
P202100067,2021.0,3,FAC003,Female-only,Female,Hispanic,,Minimum,2021-03-04,
P202100068,2021.0,3,FAC003,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-11-24,
P202100069,2021.0,3,FAC003,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-12-30,2025-06-20
P202100070,2021.0,3,FAC003,Female-only,Female,White,Violent,Maximum,2021-05-13,2025-04-26
P202100071,2021.0,3,FAC003,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-07-01,2023-09-04
P202100072,2021.0,3,FAC003,Female-only,Female,Hispanic,Drug,Minimum,2021-02-08,
P202100073,2021.0,3,FAC003,Female-only,Female,White,Violent,Maximum,2021-09-19,
P202100074,2021.0,3,FAC003,Female-only,Female,White,Violent,,2021-12-18,2022-02-18
P202100075,2021.0,3,FAC003,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-03-22,
P202100076,2021.0,4,FAC004,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-11-29,
P202100077,2021.0,4,FAC004,Female-only,Female,White,Violent,Medium,2021-02-02,2024-09-09
P202100078,2021.0,4,FAC004,,Female,Black,,Medium,2021-08-19,
P202100079,2021.0,4,FAC004,Female-only,Female,White,Violent,Medium,2021-12-13,
P202100080,2021.0,4,FAC004,Female-only,Female,Black,Property,Medium,,
P202100081,2021.0,4,FAC004,Female-only,Female,,Violent,Medium,,
P202100082,2021.0,4,FAC004,Female-only,Female,Black,Property,Medium,2021-09-13,
P202100083,2021.0,4,,Female-only,Female,White,Violent,Maximum,2021-04-09,2022-02-27
P202100084,2021.0,4,FAC004,Female-only,Female,Hispanic,Drug,Minimum,,
P202100085,2021.0,4,FAC004,Female-only,Female,White,Property,,2021-05-01,2021-12-23
P202100086,2021.0,4,FAC004,Female-only,Female,White,Violent,Maximum,2021-11-26,2024-02-10
P202100087,2021.0,4,FAC004,,,Hispanic,PublicOrder,Minimum,2021-10-31,
P202100088,2021.0,4,FAC004,Female-only,Female,Black,Property,Medium,2021-08-06,2022-09-19
P202100089,2021.0,4,FAC004,Female-only,Female,White,Violent,Maximum,2021-07-01,2024-01-21
P202100090,2021.0,4,FAC004,Female-only,Female,Hispanic,Other,,2021-04-14,
P202100091,,4,,Female-only,Female,Black,Property,Medium,2021-08-31,2024-01-02
P202100092,2021.0,4,FAC004,Female-only,Female,Black,Property,,2021-08-04,
P202100093,2021.0,4,FAC004,Female-only,Female,White,Violent,Maximum,2021-12-08,2023-05-09
P202100094,2021.0,4,FAC004,Female-only,Female,Asian,Other,Minimum,2021-04-22,2024-07-02
P202100095,2021.0,4,FAC004,Female-only,Female,Black,Drug,Medium,2021-07-03,2023-04-22
P202100096,2021.0,4,FAC004,Female-only,Female,White,Violent,,2021-06-12,2023-12-31
P202100097,2021.0,4,FAC004,Female-only,Female,White,,Maximum,2021-04-15,
P202100098,2021.0,4,FAC004,Female-only,Female,,Property,Medium,,2023-05-24
P202100099,2021.0,4,FAC004,Female-only,Female,Black,Property,Medium,2021-07-20,
P202100100,2021.0,4,FAC004,Female-only,Female,White,Violent,Medium,2021-12-14,2025-03-07
P202100101,2021.0,5,FAC005,Mixed,Male,Native American,Other,,,2025-05-15
P202100102,2021.0,5,FAC005,Mixed,Male,,Violent,Maximum,2021-06-06,2021-07-10
P202100103,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-09-10,
P202100104,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,,2022-04-16
P202100105,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-03-03,
P202100106,2021.0,5,,Mixed,Male,White,Violent,Medium,2021-07-31,2022-01-19
P202100107,2021.0,5,FAC005,Mixed,Male,White,Violent,Medium,2021-08-11,2023-06-25
P202100108,,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-03-16,
P202100109,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-04-25,2021-09-29
P202100110,2021.0,5,FAC005,Mixed,Male,White,Violent,Medium,2021-03-05,2024-09-01
P202100111,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-09-29,2024-11-14
P202100112,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-10-31,2023-12-01
P202100113,2021.0,5,FAC005,,,Black,Drug,,2021-07-07,2024-04-05
P202100114,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,,2024-08-13
P202100115,,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-08-28,2024-06-21
P202100116,2021.0,5,FAC005,Mixed,Male,White,Violent,,2021-12-19,
P202100117,2021.0,5,FAC005,Mixed,Male,Black,Drug,Medium,2021-03-19,2024-07-30
P202100118,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-10-03,
P202100119,2021.0,5,FAC005,Mixed,Female,Black,Drug,Minimum,2021-06-14,
P202100120,2021.0,5,FAC005,,Male,Black,Property,Medium,2021-08-07,2025-06-04
P202100121,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-06-11,2023-12-21
P202100122,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-08-30,
P202100123,2021.0,5,FAC005,,Male,,Property,Medium,2021-09-30,2022-05-10
P202100124,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-01-03,2025-07-22
P202100125,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-07-17,2022-03-09
P202100126,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-05-05,2023-11-11
P202100127,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,,2022-12-11
P202100128,2021.0,5,FAC005,Mixed,,,Violent,Medium,2021-03-05,2023-03-29
P202100129,2021.0,5,FAC005,Mixed,Male,Black,Property,,2021-03-07,2021-06-11
P202100130,2021.0,5,FAC005,,,White,Violent,Medium,2021-01-25,
P202100131,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-10-01,
P202100132,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-04-15,
P202100133,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-01-09,
P202100134,2021.0,5,FAC005,Mixed,,Hispanic,PublicOrder,Minimum,2021-12-04,2024-06-15
P202100135,2021.0,5,FAC005,Mixed,Male,Black,Drug,,2021-10-26,2025-07-10
P202100136,,5,FAC005,Mixed,,Black,Drug,Minimum,2021-12-03,
P202100137,2021.0,5,FAC005,Mixed,,Hispanic,PublicOrder,Minimum,2021-05-06,
P202100138,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-07-01,2022-02-15
P202100139,2021.0,5,,Mixed,,Hispanic,PublicOrder,Minimum,2021-12-21,
P202100140,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-05-03,
P202100141,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-05-22,
P202100142,2021.0,5,FAC005,Mixed,Female,Hispanic,PublicOrder,Minimum,2021-03-18,2024-01-05
P202100143,2021.0,5,,Mixed,Male,Black,Property,Medium,2021-08-29,2023-12-22
P202100144,2021.0,5,,Mixed,Male,Hispanic,,Minimum,2021-08-13,
P202100145,2021.0,5,FAC005,,Male,Black,Drug,Medium,2021-12-02,
P202100146,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,,
P202100147,,5,FAC005,Mixed,,Black,Property,Medium,,2024-01-31
P202100148,2021.0,5,FAC005,Mixed,Female,White,Violent,Medium,2021-01-29,
P202100149,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-01-12,
P202100150,2021.0,5,,Mixed,Male,Native American,Other,Minimum,,2025-02-02
P202100151,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-07-03,2023-12-04
P202100152,2021.0,5,FAC005,Mixed,,White,Violent,Medium,2021-07-22,
P202100153,2021.0,5,FAC005,Mixed,Male,Native American,Other,Minimum,2021-10-05,
P202100154,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-03-10,
P202100155,2021.0,5,FAC005,Mixed,Female,Black,Property,Medium,2021-07-09,
P202100156,2021.0,5,,Mixed,Male,Black,Drug,Medium,2021-06-25,2024-07-30
P202100157,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-04-26,2023-04-05
P202100158,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-09-15,
P202100159,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-04-12,
P202100160,2021.0,5,FAC005,Mixed,Male,White,Property,Medium,2021-02-25,
P202100161,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-03-16,
P202100162,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-10-23,
P202100163,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-07-06,2024-10-26
P202100164,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-06-30,2023-11-02
P202100165,2021.0,5,FAC005,Mixed,Female,White,Violent,Medium,2021-12-22,2024-02-02
P202100166,2021.0,5,FAC005,Mixed,Male,Black,Property,Medium,2021-01-29,2024-01-30
P202100167,2021.0,5,FAC005,Mixed,Male,,Property,Medium,2021-01-21,
P202100168,2021.0,5,FAC005,Mixed,Male,White,Property,Medium,2021-03-14,
P202100169,2021.0,5,FAC005,Mixed,Male,Hispanic,Drug,Minimum,2021-05-31,
P202100170,,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-10-03,2022-02-10
P202100171,2021.0,5,,Mixed,Male,Black,Drug,Minimum,2021-05-01,
P202100172,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-06-16,2024-08-23
P202100173,2021.0,5,FAC005,Mixed,Male,White,Violent,,,
P202100174,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-01-08,2022-11-06
P202100175,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-06-20,
P202100176,2021.0,5,FAC005,Mixed,Male,Black,,Minimum,2021-12-20,
P202100177,2021.0,5,FAC005,,,Hispanic,PublicOrder,Minimum,2021-11-11,2024-11-05
P202100178,2021.0,5,,Mixed,Male,White,Violent,Medium,2021-02-16,
P202100179,2021.0,5,FAC005,Mixed,Male,,Violent,Maximum,2021-03-03,2025-03-09
P202100180,2021.0,5,FAC005,Mixed,Male,White,Property,Medium,2021-05-21,
P202100181,2021.0,5,FAC005,Mixed,Male,White,Property,Medium,2021-02-16,2022-12-31
P202100182,2021.0,5,FAC005,,Male,Hispanic,PublicOrder,Minimum,2021-08-21,
P202100183,2021.0,5,FAC005,Mixed,Male,White,Violent,Medium,2021-08-02,
P202100184,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,,2023-12-25
P202100185,2021.0,5,FAC005,Mixed,Female,,Violent,Medium,,2025-02-09
P202100186,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-01-08,
P202100187,2021.0,5,FAC005,Mixed,Male,Native American,Other,Minimum,2021-04-06,
P202100188,2021.0,5,,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-07-14,2023-11-25
P202100189,2021.0,5,FAC005,Mixed,Male,White,Violent,Maximum,2021-12-15,2022-07-22
P202100190,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-11-11,
P202100191,2021.0,5,FAC005,Mixed,Male,,Violent,Medium,,2022-02-09
P202100192,,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-02-28,
P202100193,2021.0,5,FAC005,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-03-04,
P202100194,2021.0,5,FAC005,Mixed,Male,Black,Drug,Minimum,2021-12-25,2022-11-06
P202100195,,5,,Mixed,Male,Hispanic,Other,,,
P202100196,2021.0,5,FAC005,Mixed,Male,White,Violent,,2021-05-02,
P202100197,2021.0,5,FAC005,Mixed,,,,Medium,2021-10-01,
P202100198,2021.0,5,FAC005,,Male,White,Violent,Medium,2021-10-21,2025-05-06
P202100199,2021.0,5,,Mixed,Male,Black,Drug,Medium,2021-05-24,2022-10-31
P202100200,2021.0,5,FAC005,Mixed,Male,,Violent,Medium,2021-05-12,2021-10-25
P202100201,2021.0,6,FAC006,,Male,White,,,,
P202100202,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-09-20,2024-12-06
P202100203,2021.0,6,FAC006,Mixed,Male,Hispanic,Other,Minimum,2021-10-08,2025-03-20
P202100204,2021.0,6,FAC006,,Male,,Violent,,2021-10-08,2023-11-30
P202100205,2021.0,6,FAC006,Mixed,,White,Violent,Medium,2021-11-25,2022-07-17
P202100206,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-06-26,2024-01-09
P202100207,2021.0,6,FAC006,Mixed,Male,,,Maximum,2021-12-31,2025-05-24
P202100208,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-05-19,2023-09-17
P202100209,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-03-11,2024-03-09
P202100210,2021.0,6,,Mixed,,Black,Drug,Medium,2021-03-13,2024-05-21
P202100211,2021.0,6,FAC006,,,White,Violent,Maximum,2021-08-24,
P202100212,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-06-23,2022-06-12
P202100213,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,,
P202100214,2021.0,6,FAC006,Mixed,Male,White,Violent,,2021-10-26,2024-09-11
P202100215,2021.0,6,,Mixed,Male,,PublicOrder,Minimum,,
P202100216,,6,FAC006,Mixed,Male,,Other,Minimum,2021-10-09,
P202100217,2021.0,6,FAC006,Mixed,Male,Black,Property,,2021-09-20,2024-11-18
P202100218,2021.0,6,FAC006,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-04-03,
P202100219,2021.0,6,FAC006,Mixed,Male,,Drug,Minimum,2021-07-10,
P202100220,2021.0,6,FAC006,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-07-22,
P202100221,,6,FAC006,Mixed,Male,White,,Maximum,2021-08-01,2025-03-07
P202100222,2021.0,6,FAC006,Mixed,Male,Hispanic,Drug,Minimum,2021-01-30,2021-04-10
P202100223,2021.0,6,FAC006,,Male,Black,Drug,Medium,2021-07-19,2025-06-18
P202100224,2021.0,6,FAC006,Mixed,,Black,Drug,Minimum,2021-10-14,2023-03-27
P202100225,2021.0,6,FAC006,,Male,White,Violent,Medium,2021-04-23,
P202100226,2021.0,6,FAC006,Mixed,,White,Violent,Medium,2021-04-21,
P202100227,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-09-06,2023-05-19
P202100228,2021.0,6,FAC006,Mixed,Male,Black,Drug,Medium,2021-11-16,2025-07-02
P202100229,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-01-08,2021-07-02
P202100230,2021.0,6,FAC006,Mixed,Male,White,Property,Medium,2021-11-03,2024-10-16
P202100231,2021.0,6,,Mixed,Male,White,Violent,Medium,,
P202100232,2021.0,6,FAC006,,Male,Black,Property,Medium,2021-07-04,2023-07-01
P202100233,2021.0,6,FAC006,Mixed,Male,White,,Maximum,2021-12-31,2024-04-16
P202100234,2021.0,6,FAC006,Mixed,Male,,Violent,Medium,,2025-02-11
P202100235,,6,FAC006,Mixed,Male,Hispanic,PublicOrder,,2021-02-01,
P202100236,2021.0,6,FAC006,,Male,White,Property,Medium,2021-07-24,2023-09-12
P202100237,2021.0,6,FAC006,,Male,Black,Property,Medium,2021-09-05,2024-04-12
P202100238,,6,FAC006,Mixed,Male,Hispanic,PublicOrder,,2021-08-11,
P202100239,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-08-28,
P202100240,2021.0,6,,,,Asian,Other,Minimum,2021-05-20,2023-11-25
P202100241,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-10-08,
P202100242,,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-06-29,2023-02-11
P202100243,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-06-04,
P202100244,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-06-26,
P202100245,2021.0,6,FAC006,Mixed,Female,,PublicOrder,Minimum,2021-08-24,2025-07-30
P202100246,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-12-27,2023-07-08
P202100247,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-03-23,2024-08-26
P202100248,2021.0,6,FAC006,,Male,Black,Property,Medium,2021-04-15,2025-07-05
P202100249,2021.0,6,FAC006,Mixed,Male,,,Medium,2021-08-15,
P202100250,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-02-16,2025-04-22
P202100251,2021.0,6,FAC006,Mixed,Female,Black,Property,Medium,2021-01-28,
P202100252,2021.0,6,FAC006,Mixed,Male,White,Violent,,2021-12-26,2025-05-15
P202100253,2021.0,6,FAC006,Mixed,,Hispanic,Other,Minimum,,2024-03-12
P202100254,2021.0,6,,Mixed,Female,White,Violent,,,
P202100255,,6,FAC006,,Female,Hispanic,,Minimum,2021-06-21,2024-05-16
P202100256,2021.0,6,FAC006,Mixed,Female,Hispanic,PublicOrder,Minimum,2021-07-18,
P202100257,2021.0,6,FAC006,Mixed,Male,Black,Drug,,2021-10-14,
P202100258,2021.0,6,,Mixed,Male,Other,Other,,2021-05-05,
P202100259,2021.0,6,FAC006,Mixed,,White,Violent,,2021-08-12,2023-03-24
P202100260,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-06-23,2023-01-25
P202100261,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-03-15,2023-03-08
P202100262,,6,,Mixed,Male,Hispanic,Other,Minimum,2021-06-12,
P202100263,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-07-19,
P202100264,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-09-27,
P202100265,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-12-07,
P202100266,2021.0,6,FAC006,,Male,Black,Drug,Minimum,2021-02-21,
P202100267,2021.0,6,FAC006,Mixed,Male,White,,Maximum,2021-06-28,2022-12-07
P202100268,,6,FAC006,Mixed,Male,,,Medium,2021-10-21,2022-08-31
P202100269,2021.0,6,FAC006,Mixed,Male,Black,,Medium,2021-10-01,2023-03-07
P202100270,2021.0,6,FAC006,Mixed,Male,White,Violent,Maximum,2021-01-27,
P202100271,2021.0,6,FAC006,,,White,Violent,Maximum,2021-01-19,2023-01-12
P202100272,2021.0,6,FAC006,Mixed,,,Violent,Maximum,2021-12-29,2023-10-11
P202100273,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-08-17,2022-06-11
P202100274,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-04-03,2022-05-27
P202100275,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-11-29,
P202100276,,6,,Mixed,Male,White,Violent,Medium,2021-08-17,2025-05-15
P202100277,,6,FAC006,Mixed,Male,,,Minimum,2021-08-22,2023-12-14
P202100278,2021.0,6,FAC006,Mixed,Male,Black,Property,Medium,2021-04-26,2025-03-21
P202100279,,6,,Mixed,Male,,Property,Medium,,2024-10-28
P202100280,2021.0,6,FAC006,Mixed,Female,,Property,Medium,,
P202100281,2021.0,6,FAC006,Mixed,,,Property,Medium,2021-08-30,
P202100282,2021.0,6,FAC006,,Male,Black,Property,Medium,2021-03-06,2022-05-07
P202100283,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-08-24,
P202100284,2021.0,6,FAC006,Mixed,,Black,Drug,Minimum,,2025-06-26
P202100285,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,,2023-10-28
P202100286,2021.0,6,FAC006,Mixed,Male,Hispanic,PublicOrder,Minimum,2021-09-11,2023-02-01
P202100287,2021.0,6,FAC006,Mixed,Male,White,Violent,Medium,2021-11-05,2024-05-31
P202100288,,6,FAC006,,Male,Black,Drug,Minimum,2021-08-02,2024-10-08
P202100289,,6,FAC006,Mixed,Male,White,Violent,,2021-03-18,
P202100290,2021.0,6,FAC006,Mixed,Female,Black,Drug,Medium,2021-07-03,2023-12-28
P202100291,2021.0,6,FAC006,,Male,White,Property,Medium,2021-06-02,
P202100292,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-06-14,
P202100293,2021.0,6,FAC006,Mixed,Male,Hispanic,,,,
P202100294,2021.0,6,FAC006,Mixed,Male,Hispanic,PublicOrder,,2021-06-12,2021-11-04
P202100295,2021.0,6,FAC006,Mixed,Male,,Violent,Maximum,,
P202100296,2021.0,6,,Mixed,Female,Black,Drug,Minimum,,2025-03-20
P202100297,2021.0,6,FAC006,Mixed,Male,Black,Drug,Minimum,2021-08-01,2022-06-11
P202100298,2021.0,6,,Mixed,Male,Black,Property,Medium,2021-06-10,2024-03-04
P202100299,2021.0,6,,Mixed,Male,White,Violent,Medium,2021-10-15,
P202100300,,6,FAC006,Mixed,Male,,PublicOrder,Minimum,2021-12-23,2023-01-03
P202100301,2021.0,7,FAC007,Mixed,Female,White,Violent,Maximum,2021-04-12,
P202100302,2021.0,7,FAC007,Mixed,Male,White,Violent,Medium,2021-05-02,
P202100303,2021.0,7,FAC007,Mixed,Female,White,,Medium,2021-08-13,
P202100304,2021.0,7,FAC007,Mixed,,Hispanic,PublicOrder,Minimum,2021-01-13,
P202100305,2021.0,7,FAC007,Mixed,,Hispanic,PublicOrder,Minimum,2021-03-26,2024-11-18
P202100306,,7,FAC007,Mixed,Male,,PublicOrder,Minimum,2021-03-06,
P202100307,2021.0,7,FAC007,Mixed,Female,Hispanic,PublicOrder,Minimum,2021-08-06,2022-12-30
P202100308,2021.0,7,FAC007,Mixed,Male,Hispanic,,Minimum,2021-02-15,2025-07-17
