"state","metric","year","total"
"California","Parole New Offense Violation Admissions","2019",4438
"California","Parole Technical Violation Admissions","2019",40
"California","Total Population","2019",125195
"California","Supervision Violation Population","2019",30983
"California","Probation Violation Population","2019",10255
"California","Probation New Offense Violation Population","2019",6900
"California","Probation Technical Violation Population","2019",3355
"California","Parole Violation Population","2019",20728
"California","Parole New Offense Violation Population","2019",20647
"California","Parole Technical Violation Population","2019",81
"California","Total Admissions","2020",11616
"California","Supervision Violation Admissions","2020",3922
"California","Probation Violation Admissions","2020",2400
"California","Probation New Offense Violation Admissions","2020",1127
"California","Probation Technical Violation Admissions","2020",1273
"California","Parole Violation Admissions","2020",1522
"California","Parole New Offense Violation Admissions","2020",1509
"California","Parole Technical Violation Admissions","2020",13
"California","Total Population","2020",95318
"California","Supervision Violation Population","2020",21570
"California","Probation Violation Population","2020",5570
"California","Probation New Offense Violation Population","2020",4517
"California","Probation Technical Violation Population","2020",1053
"California","Parole Violation Population","2020",16000
"California","Parole New Offense Violation Population","2020",15929
"California","Parole Technical Violation Population","2020",71
"California","Total Admissions","2021",29425
"California","Supervision Violation Admissions","2021",9515
"California","Probation Violation Admissions","2021",5287
"California","Probation New Offense Violation Admissions","2021",2802
"California","Probation Technical Violation Admissions","2021",2485
"California","Parole Violation Admissions","2021",4228
"California","Parole New Offense Violation Admissions","2021",4200
"California","Parole Technical Violation Admissions","2021",28
"California","Total Population","2021",99635
"California","Supervision Violation Population","2021",22962
"California","Probation Violation Population","2021",6869
"California","Probation New Offense Violation Population","2021",5089
"California","Probation Technical Violation Population","2021",1780
"California","Parole Violation Population","2021",16093
"California","Parole New Offense Violation Population","2021",16005
"California","Parole Technical Violation Population","2021",88
"Colorado","Total Admissions","2018",9985
"Colorado","Supervision Violation Admissions","2018",3768
"Colorado","Probation Violation Admissions","2018",22
"Colorado","Probation New Offense Violation Admissions","2018",8
"Colorado","Probation Technical Violation Admissions","2018",14
"Colorado","Parole Violation Admissions","2018",3746
"Colorado","Parole New Offense Violation Admissions","2018",1093
"Colorado","Parole Technical Violation Admissions","2018",2653
"Colorado","Total Population","2018",20137
"Colorado","Supervision Violation Population","2018",3946
"Colorado","Probation Violation Population","2018",94
"Colorado","Probation New Offense Violation Population","2018",57
"Colorado","Probation Technical Violation Population","2018",37
"Colorado","Parole Violation Population","2018",3852
"Colorado","Parole New Offense Violation Population","2018",2651
"Colorado","Parole Technical Violation Population","2018",1201
"Colorado","Total Admissions","2019",9691
"Colorado","Supervision Violation Admissions","2019",3441
"Colorado","Probation Violation Admissions","2019",17
"Colorado","Probation New Offense Violation Admissions","2019",6
"Colorado","Probation Technical Violation Admissions","2019",11
"Colorado","Parole Violation Admissions","2019",3424
"Colorado","Parole New Offense Violation Admissions","2019",1215
"Colorado","Parole Technical Violation Admissions","2019",2209
"Colorado","Total Population","2019",19951
"Colorado","Supervision Violation Population","2019",4101
"Colorado","Probation Violation Population","2019",82
"Colorado","Probation New Offense Violation Population","2019",55
"Colorado","Probation Technical Violation Population","2019",27
"Colorado","Parole Violation Population","2019",4019
"Colorado","Parole New Offense Violation Population","2019",2698
"Colorado","Parole Technical Violation Population","2019",1321
"Colorado","Total Admissions","2020",7982
"Colorado","Supervision Violation Admissions","2020",2630
"Colorado","Probation Violation Admissions","2020",14
"Colorado","Probation New Offense Violation Admissions","2020",8
"Colorado","Probation Technical Violation Admissions","2020",6
"Colorado","Parole Violation Admissions","2020",2616
"Colorado","Parole New Offense Violation Admissions","2020",1053
"Colorado","Parole Technical Violation Admissions","2020",1563
"Colorado","Total Population","2020",17441
"Colorado","Supervision Violation Population","2020",3270
"Colorado","Probation Violation Population","2020",64
"Colorado","Probation New Offense Violation Population","2020",45
"Colorado","Probation Technical Violation Population","2020",19
"Colorado","Parole Violation Population","2020",3206
"Colorado","Parole New Offense Violation Population","2020",2327
"Colorado","Parole Technical Violation Population","2020",879
"Colorado","Total Admissions","2021",5086
"Colorado","Supervision Violation Admissions","2021",1451
"Colorado","Probation Violation Admissions","2021",6
"Colorado","Probation New Offense Violation Admissions","2021",1
"Colorado","Probation Technical Violation Admissions","2021",5
"Colorado","Parole Violation Admissions","2021",1445
"Colorado","Parole New Offense Violation Admissions","2021",774
"Colorado","Parole Technical Violation Admissions","2021",671
"Colorado","Total Population","2021",15434
"Colorado","Supervision Violation Population","2021",2700
"Colorado","Probation Violation Population","2021",55
"Colorado","Probation New Offense Violation Population","2021",39
"Colorado","Probation Technical Violation Population","2021",16
"Colorado","Parole Violation Population","2021",2645
"Colorado","Parole New Offense Violation Population","2021",2050
"Colorado","Parole Technical Violation Population","2021",595
"Connecticut","Total Admissions","2018",21018
"Connecticut","Supervision Violation Admissions","2018",1981
"Connecticut","Probation Violation Admissions","2018",767
"Connecticut","Probation New Offense Violation Admissions","2018",NA
"Connecticut","Probation Technical Violation Admissions","2018",NA
"Connecticut","Parole Violation Admissions","2018",1214
"Connecticut","Parole New Offense Violation Admissions","2018",920
"Connecticut","Parole Technical Violation Admissions","2018",294
"Connecticut","Total Population","2018",13366
"Connecticut","Supervision Violation Population","2018",NA
"Connecticut","Probation Violation Population","2018",NA
"Connecticut","Probation New Offense Violation Population","2018",NA
"Connecticut","Probation Technical Violation Population","2018",NA
"Connecticut","Parole Violation Population","2018",NA
"Connecticut","Parole New Offense Violation Population","2018",NA
"Connecticut","Parole Technical Violation Population","2018",NA
"Connecticut","Total Admissions","2019",19535
"Connecticut","Supervision Violation Admissions","2019",1895
"Connecticut","Probation Violation Admissions","2019",747
"Connecticut","Probation New Offense Violation Admissions","2019",NA
"Connecticut","Probation Technical Violation Admissions","2019",NA
"Connecticut","Parole Violation Admissions","2019",1148
"Connecticut","Parole New Offense Violation Admissions","2019",858
"Connecticut","Parole Technical Violation Admissions","2019",290
"Connecticut","Total Population","2019",13100
"Connecticut","Supervision Violation Population","2019",NA
"Connecticut","Probation Violation Population","2019",NA
"Connecticut","Probation New Offense Violation Population","2019",NA
"Connecticut","Probation Technical Violation Population","2019",NA
"Connecticut","Parole Violation Population","2019",NA
"Connecticut","Parole New Offense Violation Population","2019",NA
"Connecticut","Parole Technical Violation Population","2019",NA
"Connecticut","Total Admissions","2020",10699
"Connecticut","Supervision Violation Admissions","2020",1011
"Connecticut","Probation Violation Admissions","2020",214
"Connecticut","Probation New Offense Violation Admissions","2020",NA
"Connecticut","Probation Technical Violation Admissions","2020",NA
"Connecticut","Parole Violation Admissions","2020",797
"Connecticut","Parole New Offense Violation Admissions","2020",605
"Connecticut","Parole Technical Violation Admissions","2020",192
"Connecticut","Total Population","2020",9111
"Connecticut","Supervision Violation Population","2020",NA
"Connecticut","Probation Violation Population","2020",NA
"Connecticut","Probation New Offense Violation Population","2020",NA
"Connecticut","Probation Technical Violation Population","2020",NA
"Connecticut","Parole Violation Population","2020",NA
"Connecticut","Parole New Offense Violation Population","2020",NA
"Connecticut","Parole Technical Violation Population","2020",NA
"Connecticut","Total Admissions","2021",12717
"Connecticut","Supervision Violation Admissions","2021",1281
"Connecticut","Probation Violation Admissions","2021",257
"Connecticut","Probation New Offense Violation Admissions","2021",NA
"Connecticut","Probation Technical Violation Admissions","2021",NA
"Connecticut","Parole Violation Admissions","2021",1024
"Connecticut","Parole New Offense Violation Admissions","2021",827
"Connecticut","Parole Technical Violation Admissions","2021",197
"Connecticut","Total Population","2021",9418
"Connecticut","Supervision Violation Population","2021",NA
"Connecticut","Probation Violation Population","2021",NA
"Connecticut","Probation New Offense Violation Population","2021",NA
"Connecticut","Probation Technical Violation Population","2021",NA
"Connecticut","Parole Violation Population","2021",NA
"Connecticut","Parole New Offense Violation Population","2021",NA
"Connecticut","Parole Technical Violation Population","2021",NA
"Delaware","Total Admissions","2018",13358
"Delaware","Supervision Violation Admissions","2018",NA
"Delaware","Probation Violation Admissions","2018",NA
"Delaware","Probation New Offense Violation Admissions","2018",NA
"Delaware","Probation Technical Violation Admissions","2018",NA
"Delaware","Parole Violation Admissions","2018",NA
"Delaware","Parole New Offense Violation Admissions","2018",NA
"Delaware","Parole Technical Violation Admissions","2018",NA
"Delaware","Total Population","2018",5207
"Delaware","Supervision Violation Population","2018",530
"Delaware","Probation Violation Population","2018",530
"Delaware","Probation New Offense Violation Population","2018",NA
"Delaware","Probation Technical Violation Population","2018",NA
"Delaware","Parole Violation Population","2018",NA
"Delaware","Parole New Offense Violation Population","2018",NA
"Delaware","Parole Technical Violation Population","2018",NA
"Delaware","Total Admissions","2019",11573
"Delaware","Supervision Violation Admissions","2019",NA
"Delaware","Probation Violation Admissions","2019",NA
"Delaware","Probation New Offense Violation Admissions","2019",NA
"Delaware","Probation Technical Violation Admissions","2019",NA
"Delaware","Parole Violation Admissions","2019",NA
"Delaware","Parole New Offense Violation Admissions","2019",NA
"Delaware","Parole Technical Violation Admissions","2019",NA
"Delaware","Total Population","2019",4436
"Delaware","Supervision Violation Population","2019",438
"Delaware","Probation Violation Population","2019",438
"Delaware","Probation New Offense Violation Population","2019",NA
"Delaware","Probation Technical Violation Population","2019",NA
"Delaware","Parole Violation Population","2019",NA
"Delaware","Parole New Offense Violation Population","2019",NA
"Delaware","Parole Technical Violation Population","2019",NA
"Delaware","Total Admissions","2020",9937
"Delaware","Supervision Violation Admissions","2020",NA
"Delaware","Probation Violation Admissions","2020",NA
"Delaware","Probation New Offense Violation Admissions","2020",NA
"Delaware","Probation Technical Violation Admissions","2020",NA
"Delaware","Parole Violation Admissions","2020",NA
"Delaware","Parole New Offense Violation Admissions","2020",NA
"Delaware","Parole Technical Violation Admissions","2020",NA
"Delaware","Total Population","2020",3894
"Delaware","Supervision Violation Population","2020",348
"Delaware","Probation Violation Population","2020",348
"Delaware","Probation New Offense Violation Population","2020",NA
"Delaware","Probation Technical Violation Population","2020",NA
"Delaware","Parole Violation Population","2020",NA
"Delaware","Parole New Offense Violation Population","2020",NA
"Delaware","Parole Technical Violation Population","2020",NA
"Delaware","Total Admissions","2021",9899
"Delaware","Supervision Violation Admissions","2021",NA
"Delaware","Probation Violation Admissions","2021",NA
"Delaware","Probation New Offense Violation Admissions","2021",NA
"Delaware","Probation Technical Violation Admissions","2021",NA
"Delaware","Parole Violation Admissions","2021",NA
"Delaware","Parole New Offense Violation Admissions","2021",NA
"Delaware","Parole Technical Violation Admissions","2021",NA
"Delaware","Total Population","2021",3976
"Delaware","Supervision Violation Population","2021",234
"Delaware","Probation Violation Population","2021",234
"Delaware","Probation New Offense Violation Population","2021",NA
"Delaware","Probation Technical Violation Population","2021",NA
"Delaware","Parole Violation Population","2021",NA
"Delaware","Parole New Offense Violation Population","2021",NA
"Delaware","Parole Technical Violation Population","2021",NA
"Florida","Total Admissions","2018",31285
"Florida","Supervision Violation Admissions","2018",10773
"Florida","Probation Violation Admissions","2018",9617
"Florida","Probation New Offense Violation Admissions","2018",4606
"Florida","Probation Technical Violation Admissions","2018",5011
"Florida","Parole Violation Admissions","2018",1156
"Florida","Parole New Offense Violation Admissions","2018",295
"Florida","Parole Technical Violation Admissions","2018",861
"Florida","Total Population","2018",96253
"Florida","Supervision Violation Population","2018",16558
"Florida","Probation Violation Population","2018",15628
"Florida","Probation New Offense Violation Population","2018",8870
"Florida","Probation Technical Violation Population","2018",6758
"Florida","Parole Violation Population","2018",930
"Florida","Parole New Offense Violation Population","2018",389
"Florida","Parole Technical Violation Population","2018",541
"Florida","Total Admissions","2019",31669
"Florida","Supervision Violation Admissions","2019",11278
"Florida","Probation Violation Admissions","2019",10289
"Florida","Probation New Offense Violation Admissions","2019",5148
"Florida","Probation Technical Violation Admissions","2019",5141
"Florida","Parole Violation Admissions","2019",989
"Florida","Parole New Offense Violation Admissions","2019",291
"Florida","Parole Technical Violation Admissions","2019",698
"Florida","Total Population","2019",95626
"Florida","Supervision Violation Population","2019",13907
"Florida","Probation Violation Population","2019",13231
"Florida","Probation New Offense Violation Population","2019",8104
"Florida","Probation Technical Violation Population","2019",5127
"Florida","Parole Violation Population","2019",676
"Florida","Parole New Offense Violation Population","2019",321
"Florida","Parole Technical Violation Population","2019",355
"Florida","Total Admissions","2020",24085
"Florida","Supervision Violation Admissions","2020",8018
"Florida","Probation Violation Admissions","2020",7228
"Florida","Probation New Offense Violation Admissions","2020",3873
"Florida","Probation Technical Violation Admissions","2020",3355
"Florida","Parole Violation Admissions","2020",790
"Florida","Parole New Offense Violation Admissions","2020",236
"Florida","Parole Technical Violation Admissions","2020",554
"Florida","Total Population","2020",79526
"Florida","Supervision Violation Population","2020",11274
"Florida","Probation Violation Population","2020",10621
"Florida","Probation New Offense Violation Population","2020",6764
"Florida","Probation Technical Violation Population","2020",3857
"Florida","Parole Violation Population","2020",653
"Florida","Parole New Offense Violation Population","2020",291
"Florida","Parole Technical Violation Population","2020",362
"Florida","Total Admissions","2021",20800
"Florida","Supervision Violation Admissions","2021",6378
"Florida","Probation Violation Admissions","2021",5460
"Florida","Probation New Offense Violation Admissions","2021",3142
"Florida","Probation Technical Violation Admissions","2021",2318
"Florida","Parole Violation Admissions","2021",918
"Florida","Parole New Offense Violation Admissions","2021",274
"Florida","Parole Technical Violation Admissions","2021",644
"Florida","Total Population","2021",78847
"Florida","Supervision Violation Population","2021",11171
"Florida","Probation Violation Population","2021",10483
"Florida","Probation New Offense Violation Population","2021",6697
"Florida","Probation Technical Violation Population","2021",3786
"Florida","Parole Violation Population","2021",688
"Florida","Parole New Offense Violation Population","2021",308
"Florida","Parole Technical Violation Population","2021",380
"Georgia","Total Admissions","2018",18275
"Georgia","Supervision Violation Admissions","2018",7033
"Georgia","Probation Violation Admissions","2018",4635
"Georgia","Probation New Offense Violation Admissions","2018",NA
"Georgia","Probation Technical Violation Admissions","2018",NA
"Georgia","Parole Violation Admissions","2018",2398
"Georgia","Parole New Offense Violation Admissions","2018",1441
"Georgia","Parole Technical Violation Admissions","2018",957
"Georgia","Total Population","2018",54870
"Georgia","Supervision Violation Population","2018",11767
"Georgia","Probation Violation Population","2018",7020
"Georgia","Probation New Offense Violation Population","2018",NA
"Georgia","Probation Technical Violation Population","2018",NA
"Georgia","Parole Violation Population","2018",4721
"Georgia","Parole New Offense Violation Population","2018",2901
"Georgia","Parole Technical Violation Population","2018",1820
"Georgia","Total Admissions","2019",18967
"Georgia","Supervision Violation Admissions","2019",6278
"Georgia","Probation Violation Admissions","2019",3779
"Georgia","Probation New Offense Violation Admissions","2019",NA
"Georgia","Probation Technical Violation Admissions","2019",NA
"Georgia","Parole Violation Admissions","2019",2499
"Georgia","Parole New Offense Violation Admissions","2019",1533
"Georgia","Parole Technical Violation Admissions","2019",966
"Georgia","Total Population","2019",55556
"Georgia","Supervision Violation Population","2019",11306
"Georgia","Probation Violation Population","2019",6479
"Georgia","Probation New Offense Violation Population","2019",NA
"Georgia","Probation Technical Violation Population","2019",NA
"Georgia","Parole Violation Population","2019",4803
"Georgia","Parole New Offense Violation Population","2019",2977
"Georgia","Parole Technical Violation Population","2019",1826
"Georgia","Total Admissions","2020",10290
"Georgia","Supervision Violation Admissions","2020",4099
